Role,Index,Pose Index,Visible,Activity Miner Focus,Fav,Structure,Title,Radial Plot,Ref,Protein,MW,#Atoms,SlogP,TPSA,Flexibility,#RB,Rof5,Filename,Tags,Confs,Conf Energy,Poses,Notes,Activity (Primary),LE (Primary),LipE (Primary),LF Rank Score,LF dG,LF VSscore,LF LE,IDNUMBER,available,H_acceptor,H_donor,B_rotN,N_O,logP,logD,logSw,PSA,Name,Smile,Collection,CLNUMBER,InChI,InChI Key,PERCENTSP3,Link,CHIRAL,Saltdata
Download_SDF_Natural_Product_Based_Library_3601,381,1,FALSE,,FALSE,O[C@@H]1C[C@H]([NH+](C1)C)c2nnc3CC[NH+](CCn32)Cc4cccc(OC)c4,Download_SDF_Natural_Product_Based_Library_3601:179_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,359.5,26,1.5,69.1,5.6,5,0,Download_SDF_Natural_Product_Based_Library_3601.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-11.656,-9.694,-10.805,-0.373,T956-0422,1,7,1,5,7,1.28,0.9,-3.4,66.65,"5-{7-[(3-methoxyphenyl)methyl]-5H,6H,7H,8H,9H-[1,2,4]triazolo[4,3-d][1,4]diazepin-3-yl}-1-methylpyrrolidin-3-ol",CN(C[C@@H](C1)O)[C@@H]1c1nnc2n1CCN(Cc1cccc(OC)c1)CC2,IC,CM4228S,"InChI=1S/C19H27N5O2/c1-22-13-15(25)11-17(22)19-21-20-18-6-7-23(8-9-24(18)19)12-14-4-3-5-16(10-14)26-2/h3-5,10,15,17,25H,6-9,11-13H2,1-2H3/t15-,17-/m0/s1",NPFSCLDCRIKSCE-RDJZCZTQSA-N,57.895,"https://store.chemdiv.com/search.php?s_type=lst&collection_source=1,2&limit=18&source_type=id&list=T956-0422",TRUE,
Download_SDF_Natural_Product_Based_Library_3601,1738,1,FALSE,,FALSE,FC(F)(F)Oc1ccc(CNC(=O)[C@@H]2C[C@]3(CC[NH+](C3)Cc4ccccc4)C(=O)N2)cc1,Download_SDF_Natural_Product_Based_Library_3601:838_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,448.5,32,3,71.9,6.3,7,0,Download_SDF_Natural_Product_Based_Library_3601.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-9.85,-8.412,-10.291,-0.263,SB73-0217,77,6,2,6,6,4.35,3.53,0.0299,70.67,"(3S,5S)-7-benzyl-1-oxo-N-[4-(trifluoromethoxy)benzyl]-2,7-diazaspiro[4.4]nonane-3-carboxamide",O=C([C@H](C[C@]12CN(Cc3ccccc3)CC2)NC1=O)NCc(cc1)ccc1OC(F)(F)F,IC,CM5576,"InChI=1S/C23H24F3N3O3/c24-23(25,26)32-18-8-6-16(7-9-18)13-27-20(30)19-12-22(21(31)28-19)10-11-29(15-22)14-17-4-2-1-3-5-17/h1-9,19H,10-15H2,(H,27,30)(H,28,31)/t19-,22-/m0/s1",RLJGYWMOHBYUOA-UGKGYDQZSA-N,39.13,"https://store.chemdiv.com/search.php?s_type=lst&collection_source=1,2&limit=18&source_type=id&list=SB73-0217",TRUE,
Download_SDF_Natural_Product_Based_Library_3601,2015,1,FALSE,,FALSE,Fc1cc(F)ccc1CNC(=O)[C@@H]2C[C@]3(CC[NH+](C3)Cc4ccccc4)C(=O)N2,Download_SDF_Natural_Product_Based_Library_3601:970_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,400.4,29,2.9,62.6,5.8,5,0,Download_SDF_Natural_Product_Based_Library_3601.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-10.137,-8.987,-13.387,-0.31,SB73-0290,30,5,2,5,5,3.52,2.7,0.021,61.44,"(3S,5S)-7-benzyl-N-(2,4-difluorobenzyl)-1-oxo-2,7-diazaspiro[4.4]nonane-3-carboxamide",O=C([C@H](C[C@]12CN(Cc3ccccc3)CC2)NC1=O)NCc(ccc(F)c1)c1F,IC,CM5576,"InChI=1S/C22H23F2N3O2/c23-17-7-6-16(18(24)10-17)12-25-20(28)19-11-22(21(29)26-19)8-9-27(14-22)13-15-4-2-1-3-5-15/h1-7,10,19H,8-9,11-14H2,(H,25,28)(H,26,29)/t19-,22-/m0/s1",BIHCGHFFVHWQBN-UGKGYDQZSA-N,36.364,"https://store.chemdiv.com/search.php?s_type=lst&collection_source=1,2&limit=18&source_type=id&list=SB73-0290",TRUE,
Download_SDF_Natural_Product_Based_Library_3601,2201,1,FALSE,,FALSE,O[C@@H]1C[NH+]([C@@H](C1)c2nnc3C[NH+](CCn32)Cc4cccc(OC)n4)C(C)C,Download_SDF_Natural_Product_Based_Library_3601:1053_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,374.5,27,1.6,81.9,5.7,6,0,Download_SDF_Natural_Product_Based_Library_3601.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-10.873,-8.935,-10.761,-0.331,S904-0075,43,8,1,6,8,1.8,1.37,-3.49,79.54,"(3S,5S)-1-isopropyl-5-{7-[(6-methoxy-2-pyridyl)methyl]-5,6,7,8-tetrahydro[1,2,4]triazolo[4,3-a]pyrazin-3-yl}tetrahydro-1H-pyrrol-3-ol",CC(C)N(C[C@H](C1)O)[C@@H]1c1nnc2n1CCN(Cc1cccc(OC)n1)C2,IC,CM4227R,"InChI=1S/C19H28N6O2/c1-13(2)25-11-15(26)9-16(25)19-22-21-17-12-23(7-8-24(17)19)10-14-5-4-6-18(20-14)27-3/h4-6,13,15-16,26H,7-12H2,1-3H3/t15-,16+/m1/s1",FYIZCHHFTKZTDY-CVEARBPZSA-N,63.158,"https://store.chemdiv.com/search.php?s_type=lst&collection_source=1,2&limit=18&source_type=id&list=S904-0075",TRUE,
Download_SDF_Natural_Product_Based_Library_3601,2633,1,FALSE,,FALSE,Fc1ccc2c(nc([nH]2)CCNC(=O)[C@@H]3C[C@]4(CC[NH+](C4)Cc5ccccc5)C(=O)N3)c1,Download_SDF_Natural_Product_Based_Library_3601:1255_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,436.5,32,2.4,91.3,6.8,6,0,Download_SDF_Natural_Product_Based_Library_3601.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-10.571,-8.957,-13.775,-0.28,SB73-0251,31,7,3,6,7,3.55,2.73,0.0581,90.12,"(3S,5S)-7-benzyl-N-[2-(5-fluoro-1H-1,3-benzimidazol-2-yl)ethyl]-1-oxo-2,7-diazaspiro[4.4]nonane-3-carboxamide",O=C([C@H](C[C@]12CN(Cc3ccccc3)CC2)NC1=O)NCCc1nc(cc(cc2)F)c2[nH]1,IC,CM5576,"InChI=1S/C24H26FN5O2/c25-17-6-7-18-19(12-17)28-21(27-18)8-10-26-22(31)20-13-24(23(32)29-20)9-11-30(15-24)14-16-4-2-1-3-5-16/h1-7,12,20H,8-11,13-15H2,(H,26,31)(H,27,28)(H,29,32)/t20-,24-/m0/s1",RPZFPQSZKNTSCT-RDPSFJRHSA-N,37.5,"https://store.chemdiv.com/search.php?s_type=lst&collection_source=1,2&limit=18&source_type=id&list=SB73-0251",TRUE,
Download_SDF_Natural_Product_Based_Library_3601,3226,1,FALSE,,FALSE,O[C@@H]1C[NH+]([C@@H](C1)c2nnc3C[NH+](CCn32)Cc4ccccc4)C(C)C,Download_SDF_Natural_Product_Based_Library_3601:1531_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,343.5,25,2.2,59.8,5.2,5,0,Download_SDF_Natural_Product_Based_Library_3601.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-10.006,-8.426,-10.218,-0.337,S904-0097,3,6,1,5,6,1.98,1.54,-3.65,57.42,"(3S,5S)-5-(7-benzyl-5,6,7,8-tetrahydro[1,2,4]triazolo[4,3-a]pyrazin-3-yl)-1-isopropyltetrahydro-1H-pyrrol-3-ol",CC(C)N(C[C@H](C1)O)[C@@H]1c1nnc2n1CCN(Cc1ccccc1)C2,IC,CM4227R,"InChI=1S/C19H27N5O/c1-14(2)24-12-16(25)10-17(24)19-21-20-18-13-22(8-9-23(18)19)11-15-6-4-3-5-7-15/h3-7,14,16-17,25H,8-13H2,1-2H3/t16-,17+/m0/s1",TXHLGVQHLQIEPT-DLBZAZTESA-N,57.895,"https://store.chemdiv.com/search.php?s_type=lst&collection_source=1,2&limit=18&source_type=id&list=S904-0097",TRUE,
Download_SDF_Natural_Product_Based_Library_3601,3282,1,FALSE,,FALSE,O[C@H]1C[C@H]([NH+](C(C)C)C1)c2nnc3C[NH+](CCn32)Cc4ccc(cn4)C,Download_SDF_Natural_Product_Based_Library_3601:1557_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,358.5,26,1.9,72.7,5.2,5,0,Download_SDF_Natural_Product_Based_Library_3601.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-9.851,-8.123,-9.928,-0.312,S904-0035,1,7,1,5,7,1.9,1.46,-3.47,70.31,"(3S,5S)-1-isopropyl-5-{7-[(5-methyl-2-pyridyl)methyl]-5,6,7,8-tetrahydro[1,2,4]triazolo[4,3-a]pyrazin-3-yl}tetrahydro-1H-pyrrol-3-ol",CC(C)N(C[C@H](C1)O)[C@@H]1c1nnc2n1CCN(Cc1ncc(C)cc1)C2,IC,CM4227R,"InChI=1S/C19H28N6O/c1-13(2)25-11-16(26)8-17(25)19-22-21-18-12-23(6-7-24(18)19)10-15-5-4-14(3)9-20-15/h4-5,9,13,16-17,26H,6-8,10-12H2,1-3H3/t16-,17+/m0/s1",IKYGRTLKPWQNRM-DLBZAZTESA-N,63.158,"https://store.chemdiv.com/search.php?s_type=lst&collection_source=1,2&limit=18&source_type=id&list=S904-0035",TRUE,
Download_SDF_Natural_Product_Based_Library_3601,4395,1,FALSE,,FALSE,C[NH+]1CCc2c3ccccc3[nH]c2C41CC[NH+](CC4)Cc5c(ncs5)C,Download_SDF_Natural_Product_Based_Library_3601:2097_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,368.5,26,3.9,37.6,3.4,2,0,Download_SDF_Natural_Product_Based_Library_3601.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-10.379,-9.724,-10.242,-0.374,S624-0601,1,4,1,2,4,2.94,7.4,-4.45,63.4,"2'-METHYL-1-[(4-METHYL-1,3-THIAZOL-5-YL)METHYL]-2',3',4',9'-TETRAHYDROSPIRO[PIPERIDINE-4,1'-PYRIDO[3,4-B]INDOLE]",Cc1c(CN(CC2)CCC22N(C)CCc3c2[nH]c2c3cccc2)scn1,IC,CM4338,"InChI=1S/C21H26N4S/c1-15-19(26-14-22-15)13-25-11-8-21(9-12-25)20-17(7-10-24(21)2)16-5-3-4-6-18(16)23-20/h3-6,14,23H,7-13H2,1-2H3",ISZWXYWJEIKFIY-UHFFFAOYSA-N,12,"https://store.chemdiv.com/search.php?s_type=lst&collection_source=1,2&limit=18&source_type=id&list=S624-0601",FALSE,
Download_SDF_Natural_Product_Based_Library_3601,4750,1,FALSE,,FALSE,O=S(=O)(N1CCC([NH+]2C[C@@H](Oc3ccccc3)C[C@H]2C(=O)NC)CC1)c4cccc(OC)c4,Download_SDF_Natural_Product_Based_Library_3601:2268_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,474.6,33,2.1,89.4,6.5,7,0,Download_SDF_Natural_Product_Based_Library_3601.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-10.77,-8.998,-10.262,-0.273,S720-2571,96,8,1,7,8,4.06,4.05,-3.96,96.56,1-[1-(3-methoxybenzenesulfonyl)piperidin-4-yl]-N-methyl-4-phenoxypyrrolidine-2-carboxamide,CNC([C@H](C[C@@H](C1)Oc2ccccc2)N1C(CC1)CCN1S(c1cc(OC)ccc1)(=O)=O)=O,IC,CM3441C,"InChI=1S/C24H31N3O5S/c1-25-24(28)23-16-21(32-19-7-4-3-5-8-19)17-27(23)18-11-13-26(14-12-18)33(29,30)22-10-6-9-20(15-22)31-2/h3-10,15,18,21,23H,11-14,16-17H2,1-2H3,(H,25,28)/t21-,23+/m1/s1",IKFZHPWPPGAYPF-GGAORHGYSA-N,45.833,"https://store.chemdiv.com/search.php?s_type=lst&collection_source=1,2&limit=18&source_type=id&list=S720-2571",TRUE,
Download_SDF_Natural_Product_Based_Library_3601,5240,1,FALSE,,FALSE,O[C@@H]1C[C@H]([NH+](C1)C)c2nnc3C[NH+](CCn32)Cc4ccc(C(C)C)cc4,Download_SDF_Natural_Product_Based_Library_3601:2501_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,357.5,26,2.5,59.8,5.2,5,0,Download_SDF_Natural_Product_Based_Library_3601.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-10.297,-8.766,-10.112,-0.337,S625-1730,27,6,1,5,6,2.41,2.11,-3.9,57.42,"1-methyl-5-(7-{[4-(propan-2-yl)phenyl]methyl}-5H,6H,7H,8H-[1,2,4]triazolo[4,3-a]pyrazin-3-yl)pyrrolidin-3-ol",CC(C)c1ccc(CN2Cc3nnc([C@H](C4)N(C)C[C@@H]4O)n3CC2)cc1,IC,CM4227S,"InChI=1S/C20H29N5O/c1-14(2)16-6-4-15(5-7-16)11-24-8-9-25-19(13-24)21-22-20(25)18-10-17(26)12-23(18)3/h4-7,14,17-18,26H,8-13H2,1-3H3/t17-,18-/m1/s1",OHAUSAZIMQLAMP-QZTJIDSGSA-N,60,"https://store.chemdiv.com/search.php?s_type=lst&collection_source=1,2&limit=18&source_type=id&list=S625-1730",TRUE,
