Role,Index,Pose Index,Visible,Activity Miner Focus,Fav,Structure,Title,Radial Plot,Ref,Protein,MW,#Atoms,SlogP,TPSA,Flexibility,#RB,Rof5,Filename,Tags,Confs,Conf Energy,Poses,Notes,Activity (Primary),LE (Primary),LipE (Primary),LF Rank Score,LF dG,LF VSscore,LF LE,IDNUMBER,Chemical_Name,CAS,PriceCoeff,Description,FSP3,clogP,H-acceptors,H-donors,RotBonds,HAC,Collection,PPDS,LCTNUMBER
LC_Fsp3-enriched_Screening_Compound_Library,18,1,FALSE,,FALSE,O=S(=O)(N1CCOCC1)c2ccc(cc2)C(=O)Nc3nc4c(s3)C[C@@H](CC4)C,F0011-0318_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,421.5,28,2.5,88.6,3.9,4,0,LC_Fsp3-enriched_Screening_Compound_Library.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-7.46,-9.494,-9.927,-0.339,F0011-0318,"N-(6-methyl-4,5,6,7-tetrahydro-1,3-benzothiazol-2-yl)-4-(morpholine-4-sulfonyl)benzamide",325977-64-8,1.5,solid,0.47,3.2,5,1,4,28,Advanced,,LCT04261
LC_Fsp3-enriched_Screening_Compound_Library,1312,1,FALSE,,FALSE,O=C(NCc1nnc(SCc2cccc(c2)C)n1CC)C34CC5CC(C3)CC(C4)C5,F0528-1485_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,424.6,30,4.7,59.8,8.9,7,0,LC_Fsp3-enriched_Screening_Compound_Library.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-9.036,-9.686,-10.403,-0.323,F0528-1485,"N-[(4-ethyl-5-{[(3-methylphenyl)methyl]sulfanyl}-4H-1,2,4-triazol-3-yl)methyl]adamantane-1-carboxamide",477304-58-8,1,solid,0.62,3.81,3,1,7,30,General,,LCT00141
LC_Fsp3-enriched_Screening_Compound_Library,1317,1,FALSE,,FALSE,Fc1cccc(CSc2nnc(n2CC)CNC(=O)C34CC5CC(C3)CC(C4)C5)c1,F0528-1489_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,428.6,30,4.8,59.8,8.9,7,0,LC_Fsp3-enriched_Screening_Compound_Library.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-8.579,-9.579,-10.448,-0.319,F0528-1489,"N-[(4-ethyl-5-{[(3-fluorophenyl)methyl]sulfanyl}-4H-1,2,4-triazol-3-yl)methyl]adamantane-1-carboxamide",477304-62-4,1,solid,0.61,3.46,3,1,7,30,General,,LCT00141
LC_Fsp3-enriched_Screening_Compound_Library,3526,1,FALSE,,FALSE,O=C(NC1CCCCC1)CSc2nc(ns2)-c3ccccc3C,F0698-0318_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,347.5,23,4.1,54.9,5,5,0,LC_Fsp3-enriched_Screening_Compound_Library.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-8.426,-10.066,-10.109,-0.438,F0698-0318,"N-cyclohexyl-2-{[3-(2-methylphenyl)-1,2,4-thiadiazol-5-yl]sulfanyl}acetamide",864918-81-0,1,solid,0.47,3.77,3,1,5,23,General,,LCT00346
LC_Fsp3-enriched_Screening_Compound_Library,4154,1,FALSE,,FALSE,O=S(=O)(N1C[C@@H](O[C@@H](C1)C)C)c2ccc(cc2)C(=O)Nc3nc4c(s3)CCCC4,F1015-0189_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,435.6,29,3.1,88.6,3.9,4,0,LC_Fsp3-enriched_Screening_Compound_Library.sdf,,0,,8,,No Primary Activity Set,Invalid,Invalid,-8.229,-10.09,-10.508,-0.348,F1015-0189,"4-[(2,6-dimethylmorpholin-4-yl)sulfonyl]-N-(4,5,6,7-tetrahydro-1,3-benzothiazol-2-yl)benzamide",681237-31-0,1,solid,0.5,3.72,5,1,4,29,General,,LCT00206
LC_Fsp3-enriched_Screening_Compound_Library,4340,1,FALSE,,FALSE,O=C1c2c(sc3CCCc23)N=C(SCCCC(OCC)=O)N1,F1102-0003_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,338.4,22,3,67.8,6,6,0,LC_Fsp3-enriched_Screening_Compound_Library.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-8.162,-9.803,-12.269,-0.446,F1102-0003,"ethyl 4-({12-oxo-7-thia-9,11-diazatricyclo[6.4.0.0^{2,6}]dodeca-1(8),2(6),9-trien-10-yl}sulfanyl)butanoate",433328-42-8,1,solid,0.53,3.15,4,2,7,22,General,+,LCT06994
LC_Fsp3-enriched_Screening_Compound_Library,4888,1,FALSE,,FALSE,O=C(N1CC[NH+](CC1)C)CSc2cc(nc(SCC(=O)N3CC[NH+](CC3)C)n2)C,F1357-0037_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,440.6,29,0.5,75.3,8.4,8,0,LC_Fsp3-enriched_Screening_Compound_Library.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-7.996,-9.964,-10.028,-0.344,F1357-0037,2-[(6-methyl-2-{[2-(4-methylpiperazin-1-yl)-2-oxoethyl]sulfanyl}pyrimidin-4-yl)sulfanyl]-1-(4-methylpiperazin-1-yl)ethan-1-one,708976-69-6,1,solid,0.68,1.81,4,2,8,29,General,+,
LC_Fsp3-enriched_Screening_Compound_Library,5779,1,FALSE,,FALSE,O=S(=O)(N1CCCC1)c2ccc3c(sc(NC(=O)C[NH+]4CCCCCC4)n3)c2,F1777-0741_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,423.6,28,2.9,83.8,6.8,5,0,LC_Fsp3-enriched_Screening_Compound_Library.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-8.447,-10.576,-11.125,-0.378,F1777-0741,"2-(azepan-1-yl)-N-[6-(pyrrolidine-1-sulfonyl)-1,3-benzothiazol-2-yl]acetamide",868213-79-0,1,solid,0.58,3.8,4,2,5,28,General,,LCT00103
LC_Fsp3-enriched_Screening_Compound_Library,9566,1,FALSE,,FALSE,O=C(N1CCN(CC1)c2ccccc2)Cc3csc(NC(=O)NC4CCCCC4)n3,F2096-1137_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,427.6,30,3.5,77.6,6.2,8,0,LC_Fsp3-enriched_Screening_Compound_Library.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-9.156,-9.577,-10.422,-0.319,F2096-1137,"1-cyclohexyl-3-{4-[2-oxo-2-(4-phenylpiperazin-1-yl)ethyl]-1,3-thiazol-2-yl}urea",923150-48-5,1,solid,0.5,3.62,4,3,6,30,General,,LCT00970
LC_Fsp3-enriched_Screening_Compound_Library,9594,1,FALSE,,FALSE,O=C(NCC1CCCCC1)Cc2csc(NC(=O)NC3CCCCC3)n2,F2096-1263_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,378.5,26,3.8,83.1,7.7,8,0,LC_Fsp3-enriched_Screening_Compound_Library.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-8.348,-9.441,-10.112,-0.363,F2096-1263,"2-{2-[(cyclohexylcarbamoyl)amino]-1,3-thiazol-4-yl}-N-(cyclohexylmethyl)acetamide",921569-14-4,1,solid,0.74,3.72,3,3,6,26,General,,LCT00970
