Time (ns),970RMSD (Å),239RMSD (Å),Substrate,14475 RMSD (Å)
0.01,0,0,0,0
0.02,0.960414,0.823232,0.885045,0.913656
0.03,1.00345,0.930181,0.965334,0.994737
0.04,1.0576,1.08973,0.958956,0.939157
0.05,1.05172,1.17068,1.06868,1.0756
0.06,1.13031,1.30665,1.11839,1.09328
0.07,1.14265,1.38616,1.27568,1.07814
0.08,1.08085,1.5012,1.25365,1.1162
0.09,1.16348,1.44412,1.26208,1.07863
0.1,1.25454,1.40572,1.33727,1.0842
0.11,1.27805,1.49403,1.34723,1.19593
0.12,1.193,1.41378,1.31647,1.11463
0.13,1.30867,1.502,1.34661,1.16348
0.14,1.28235,1.39103,1.18691,1.25896
0.15,1.26385,1.44972,1.29159,1.22718
0.16,1.33639,1.44068,1.34016,1.14489
0.17,1.48445,1.44807,1.32813,1.38715
0.18,1.57654,1.48937,1.41267,1.38138
0.19,1.52085,1.43485,1.23903,1.32735
0.2,1.40305,1.56245,1.36279,1.26056
0.21,1.39519,1.68733,1.31907,1.31673
0.22,1.36132,1.86884,1.3625,1.38578
0.23,1.41408,1.91161,1.35122,1.4739
0.24,1.45371,1.9288,1.27385,1.58439
0.25,1.52477,1.82558,1.24726,1.5267
0.26,1.51928,1.93895,1.36848,1.49307
0.27,1.60596,1.8145,1.35296,1.62759
0.28,1.47031,1.82408,1.44169,1.72465
0.29,1.53652,1.86029,1.40519,1.75841
0.3,1.42814,1.84468,1.35659,1.75186
0.31,1.49259,1.98804,1.29112,1.73938
0.32,1.54718,1.91646,1.20902,1.67941
0.33,1.5216,2.05321,1.27439,1.49473
0.34,1.46866,1.9699,1.26102,1.48746
0.35,1.55747,1.95515,1.22662,1.38405
0.36,1.64651,2.04285,1.32695,1.3968
0.37,1.66451,1.90657,1.38591,1.50506
0.38,1.67553,1.99673,1.40215,1.46277
0.39,1.77947,2.12508,1.44905,1.57352
0.4,1.78703,2.10129,1.53922,1.44777
0.41,1.63933,1.99887,1.51149,1.46777
0.42,1.72281,1.94203,1.5552,1.47265
0.43,1.74675,1.79383,1.45704,1.53804
0.44,1.67331,1.9286,1.47762,1.52493
0.45,1.71058,1.89127,1.40504,1.69009
0.46,1.73575,1.90179,1.41103,1.46039
0.47,1.68112,1.88375,1.5148,1.41948
0.48,1.71976,1.88758,1.51355,1.57574
0.49,1.76283,1.98647,1.48825,1.46138
0.5,1.71252,2.11683,1.43235,1.54688
0.51,1.75174,2.14573,1.43806,1.35425
0.52,1.62226,2.23175,1.56459,1.4008
0.53,1.7326,2.12478,1.61186,1.36389
0.54,1.66038,2.08868,1.55482,1.402
0.55,1.64669,1.88149,1.50313,1.4252
0.56,1.55181,1.94219,1.4428,1.45061
0.57,1.52538,1.91295,1.42025,1.51241
0.58,1.56594,1.97092,1.50993,1.53875
0.59,1.55692,2.05789,1.51687,1.61309
0.6,1.67054,2.04234,1.54674,1.46348
0.61,1.61467,2.08904,1.41684,1.52599
0.62,1.62428,2.0231,1.44036,1.47592
0.63,1.54603,1.99569,1.46014,1.41394
0.64,1.57447,2.08728,1.42099,1.42737
0.65,1.68727,2.06603,1.46711,1.50762
