"Time (ns)","RMSD (Å)"
0.01,0
0.02,0.837499
0.03,1.03702
0.04,0.95658
0.05,1.04787
0.06,1.11356
0.07,1.19474
0.08,1.08749
0.09,1.16451
0.1,1.26831
0.11,1.2697
0.12,1.27985
0.13,1.37708
0.14,1.30346
0.15,1.33671
0.16,1.36047
0.17,1.37156
0.18,1.48297
0.19,1.47712
0.2,1.54558
0.21,1.47111
0.22,1.43267
0.23,1.43807
0.24,1.51416
0.25,1.6521
0.26,1.66595
0.27,1.62794
0.28,1.71131
0.29,1.91941
0.3,1.7425
0.31,1.80661
0.32,1.99207
0.33,2.27784
0.34,2.23151
0.35,2.18535
0.36,2.13513
0.37,2.048
0.38,2.20141
0.39,2.28444
0.4,2.40182
0.41,2.34424
0.42,2.41362
0.43,2.27505
0.44,2.23633
0.45,2.45085
0.46,2.55617
0.47,2.45631
0.48,2.38706
0.49,2.56703
0.5,2.72058
0.51,2.68582
0.52,2.68904
0.53,2.84589
0.54,2.65886
0.55,2.81903
0.56,3.16582
0.57,3.02768
0.58,3.04247
0.59,2.99365
0.6,2.81283
0.61,2.70041
0.62,2.62339
0.63,2.53603
0.64,2.60617
0.65,2.51104
0.66,2.37222
0.67,2.47626
0.68,2.63459
0.69,2.82645
0.7,2.93303
0.71,2.99129
0.72,2.8559
0.73,2.83831
0.74,2.64799
0.75,2.65719
0.76,2.63745
0.77,2.62568
0.78,2.46745
0.79,2.41184
0.8,2.45292
0.81,2.3631
0.82,2.53005
0.83,2.54648
0.84,2.24768
0.85,2.19266
0.86,2.22449
0.87,2.3228
0.88,2.38034
0.89,2.18267
0.9,2.17541
0.91,2.34489
0.92,2.45337
0.93,2.35551
0.94,2.36412
0.95,2.33027
0.96,2.23571
0.97,2.28768
0.98,2.35498
0.99,2.39374
1,2.42202
1.01,2.28514
1.02,2.58685
1.03,2.65613
1.04,2.63211
1.05,2.44108
1.06,2.34667
1.07,2.22077
1.08,2.31485
1.09,2.18004
1.1,2.28769
1.11,2.40319
1.12,2.23424
1.13,2.38739
1.14,2.29097
1.15,2.40501
1.16,2.23067
1.17,2.31157
1.18,2.35376
1.19,2.5047
1.2,2.6416
1.21,2.73944
1.22,2.76347
1.23,2.65143
1.24,2.60851
1.25,2.69677
1.26,2.54848
1.27,2.61272
1.28,2.62284
1.29,2.36998
1.3,2.42095
1.31,2.43979
1.32,2.31262
1.33,2.43628
1.34,2.41299
1.35,2.39489
1.36,2.38224
1.37,2.54619
1.38,2.64891
1.39,2.45707
1.4,2.59123
1.41,2.49199
1.42,2.49151
1.43,2.47734
1.44,2.53193
1.45,2.47748
1.46,2.45187
1.47,2.34028
1.48,2.25548
1.49,2.30855
1.5,2.30812
1.51,2.16154
1.52,2.08042
1.53,2.07167
1.54,2.17553
1.55,2.06094
1.56,2.12639
1.57,2.13158
1.58,2.2581
1.59,2.16476
1.6,2.20475
1.61,2.2324
1.62,2.19006
1.63,2.18309
1.64,2.12712
1.65,2.15555
1.66,2.05087
1.67,2.242
1.68,2.36388
1.69,2.42903
1.7,2.39165
1.71,2.33119
1.72,2.49683
1.73,2.554
1.74,2.58543
1.75,2.47676
1.76,2.41796
1.77,2.41514
1.78,2.43773
1.79,2.57618
1.8,2.57359
1.81,2.72592
1.82,2.76374
1.83,2.76187
1.84,2.95355
1.85,2.84303
1.86,3.00339
1.87,2.86079
1.88,2.72439
1.89,2.80823
1.9,2.71172
1.91,2.76203
1.92,2.658
1.93,2.75515
1.94,2.6972
1.95,2.83667
1.96,2.90987
1.97,2.76632
1.98,2.82458
1.99,2.78254
2,2.79895
2.01,2.71653
2.02,2.90633
2.03,2.81539
2.04,2.85507
2.05,2.73638
2.06,2.68861
2.07,2.81236
2.08,2.70105
2.09,2.70891
2.1,2.74863
2.11,2.79357
2.12,2.85591
2.13,2.92282
2.14,2.78485
2.15,2.82269
2.16,2.9783
2.17,2.88598
2.18,2.84583
2.19,2.94825
2.2,2.83408
2.21,2.87794
2.22,2.88081
2.23,2.80835
2.24,2.76434
2.25,2.80135
2.26,2.77674
2.27,2.80013
2.28,2.65744
2.29,2.91372
2.3,2.85549
2.31,2.81659
2.32,2.72956
2.33,2.65314
2.34,2.75404
2.35,2.72046
2.36,2.57273
2.37,2.70984
2.38,2.58714
2.39,2.71615
2.4,2.76467
2.41,2.84674
2.42,2.88061
2.43,2.78297
2.44,2.75348
2.45,2.70202
2.46,2.62402
2.47,2.64567
2.48,2.62378
2.49,2.69669
2.5,2.87042
2.51,2.84184
2.52,2.81672
2.53,2.89029
2.54,2.99421
2.55,2.95696
2.56,2.97997
2.57,2.9816
2.58,2.90852
2.59,2.77926
2.6,2.94918
2.61,2.97677
2.62,3.0049
2.63,3.04234
2.64,3.08016
2.65,2.97581
2.66,2.89183
2.67,2.90414
2.68,2.89617
2.69,2.99985
2.7,2.99967
2.71,2.96079
2.72,2.99461
2.73,2.76939
2.74,2.95098
2.75,2.97589
2.76,2.94824
2.77,3.04274
2.78,2.99373
2.79,2.98763
2.8,3.12515
2.81,3.03117
2.82,3.10163
2.83,3.21492
2.84,3.04619
2.85,3.15965
2.86,3.11158
2.87,2.98253
2.88,3.08906
2.89,2.93325
2.9,2.99889
2.91,2.98124
2.92,2.9593
2.93,2.98431
2.94,3.00445
2.95,3.13677
2.96,3.26742
2.97,3.25987
2.98,3.18755
2.99,2.99266
3,3.11227
3.01,3.12523
3.02,3.09291
3.03,3.09355
3.04,2.87145
3.05,2.74072
3.06,2.76054
3.07,2.72736
3.08,2.95975
3.09,2.83087
3.1,2.96728
3.11,2.96659
3.12,2.9284
3.13,2.91348
3.14,2.88013
3.15,2.89604
3.16,2.90456
3.17,2.85158
3.18,2.74823
3.19,2.91934
3.2,2.71061
3.21,2.78361
3.22,2.81452
3.23,2.86521
3.24,2.8269
3.25,2.8244
3.26,2.86707
3.27,2.80085
3.28,2.99953
3.29,2.66198
3.3,2.76924
3.31,2.81129
3.32,2.86652
3.33,2.77271
3.34,2.71317
3.35,2.87062
3.36,2.95016
3.37,2.94174
3.38,2.97696
3.39,3.04232
3.4,2.91716
3.41,3.06672
3.42,3.06195
3.43,3.02609
3.44,3.06174
3.45,2.84875
3.46,2.81419
3.47,2.63384
3.48,2.68654
3.49,2.6954
3.5,2.75404
3.51,2.8117
3.52,2.87414
3.53,2.77443
3.54,2.72408
3.55,2.75988
3.56,2.79156
3.57,2.62683
3.58,2.69445
3.59,2.73274
3.6,2.85734
3.61,2.84047
3.62,2.89589
3.63,3.0233
3.64,2.94202
3.65,2.97648
3.66,2.98759
3.67,2.95438
3.68,2.99133
3.69,2.99426
3.7,2.87572
3.71,2.78439
3.72,2.89657
3.73,2.99974
3.74,2.90859
3.75,3.02551
3.76,2.94151
3.77,2.99744
3.78,2.91296
3.79,2.9073
3.8,2.91601
3.81,3.08897
3.82,3.11459
3.83,2.83263
3.84,2.85018
3.85,2.8328
3.86,2.93604
3.87,2.89044
3.88,2.85202
3.89,2.84225
3.9,2.89665
3.91,2.77457
3.92,2.79045
3.93,2.90456
3.94,3.02263
3.95,2.88017
3.96,2.7769
3.97,2.80624
3.98,2.88046
3.99,2.81177
4,2.77586
4.01,2.8861
4.02,2.94476
4.03,2.87533
4.04,2.81513
4.05,2.95655
4.06,2.92545
4.07,2.96316
4.08,2.87678
4.09,2.95483
4.1,2.88956
4.11,2.95247
4.12,2.88727
4.13,2.97415
4.14,2.86529
4.15,2.96624
4.16,2.90451
4.17,2.96497
4.18,2.89293
4.19,2.80297
4.2,2.85585
4.21,2.76238
4.22,2.86052
4.23,2.91952
4.24,2.97092
4.25,2.96657
4.26,2.82137
4.27,2.90747
4.28,2.86132
4.29,2.90833
4.3,2.97233
4.31,2.98204
4.32,3.02734
4.33,3.05252
4.34,2.94865
4.35,2.92209
4.36,2.89606
4.37,2.83045
4.38,3.05329
4.39,3.22302
4.4,3.16491
4.41,3.16922
4.42,3.02332
4.43,3.04647
4.44,2.95402
4.45,2.8551
4.46,2.79423
4.47,2.80656
4.48,2.90408
4.49,2.81686
4.5,2.87509
4.51,2.96273
4.52,3.01929
4.53,3.04702
4.54,3.03829
4.55,3.1539
4.56,3.25486
4.57,3.24906
4.58,3.20294
4.59,3.27372
4.6,3.18155
4.61,3.14759
4.62,2.99079
4.63,2.87585
4.64,2.86599
4.65,2.96074
4.66,2.91475
4.67,2.97835
4.68,2.93625
4.69,2.847
4.7,2.96339
4.71,3.02051
4.72,3.12687
4.73,3.00072
4.74,3.08862
4.75,2.94756
4.76,2.94424
4.77,2.98267
4.78,2.99234
4.79,3.08006
4.8,3.04195
4.81,3.06377
4.82,3.07247
4.83,3.0805
4.84,2.85459
4.85,2.88668
4.86,2.89362
4.87,2.88442
4.88,2.7812
4.89,2.85605
4.9,2.75972
4.91,2.72242
4.92,2.72518
4.93,2.77492
4.94,2.8721
4.95,2.79732
4.96,2.84709
4.97,2.77088
4.98,2.84615
4.99,2.85284
5,2.66643
5.01,2.76805
5.02,2.88904
5.03,2.891
5.04,2.86113
5.05,2.88427
5.06,2.82362
5.07,2.85238
5.08,2.87227
5.09,2.86581
5.1,2.89225
5.11,2.86998
5.12,2.77178
5.13,2.81757
5.14,2.77052
5.15,2.8043
5.16,3.01568
5.17,3.05704
5.18,3.06891
5.19,3.22418
5.2,3.20702
5.21,3.19045
5.22,3.18579
5.23,3.13093
5.24,3.12154
5.25,3.03175
5.26,3.08614
5.27,3.08303
5.28,3.01659
5.29,3.16813
5.3,3.1545
5.31,3.0626
5.32,2.80328
5.33,2.85149
5.34,2.89061
5.35,2.97535
5.36,2.91372
5.37,2.92579
5.38,3.01518
5.39,3.01304
5.4,3.09716
5.41,3.02929
5.42,3.07978
5.43,3.05613
5.44,3.00149
5.45,3.06687
5.46,3.08307
5.47,3.09637
5.48,3.10388
5.49,3.00176
5.5,2.88393
5.51,3.05199
5.52,3.06519
5.53,3.11228
5.54,2.99804
5.55,2.92512
5.56,3.03299
5.57,3.03353
5.58,3.09982
5.59,2.95037
5.6,2.99739
5.61,3.018
5.62,2.94391
5.63,2.9138
5.64,2.92354
5.65,2.90569
5.66,2.99037
5.67,2.9306
5.68,3.08269
5.69,3.06866
5.7,3.00965
5.71,2.93688
5.72,2.97729
5.73,2.99447
5.74,2.90045
5.75,2.89902
5.76,2.94091
5.77,3.03815
5.78,3.02995
5.79,2.81953
5.8,2.97647
5.81,2.89314
5.82,2.92919
5.83,2.90917
5.84,2.97612
5.85,3.10864
5.86,3.12391
5.87,3.08185
5.88,3.03742
5.89,3.04265
5.9,3.09284
5.91,3.02883
5.92,2.85881
5.93,3.12086
5.94,3.18819
5.95,3.19007
5.96,3.1121
5.97,3.08657
5.98,2.99651
5.99,3.1292
6,3.11109
6.01,3.16057
6.02,3.12714
6.03,3.04857
6.04,2.8848
6.05,2.90515
6.06,2.98999
6.07,3.00576
6.08,3.02447
6.09,2.94922
6.1,2.99437
6.11,3.01281
6.12,3.15185
6.13,3.00222
6.14,3.00522
6.15,3.09153
6.16,3.04854
6.17,3.07393
6.18,3.12759
6.19,3.23815
6.2,3.12594
6.21,3.08965
6.22,3.09697
6.23,3.04041
6.24,3.16287
6.25,3.02497
6.26,3.10544
6.27,3.03976
6.28,3.15978
6.29,3.05951
6.3,3.0778
6.31,2.88149
6.32,3.05244
6.33,2.9141
6.34,3.03167
6.35,2.95327
6.36,3.0193
6.37,2.90924
6.38,2.88097
6.39,2.87909
6.4,2.88141
6.41,3.02569
6.42,2.95443
6.43,3.07253
6.44,3.00924
6.45,3.19481
6.46,3.17681
6.47,3.08548
6.48,3.01971
6.49,3.08288
6.5,3.07282
6.51,3.05795
6.52,3.09975
6.53,2.98889
6.54,3.18829
6.55,3.14011
6.56,3.1495
6.57,3.14694
6.58,3.09222
6.59,3.08474
6.6,3.12595
6.61,3.20585
6.62,3.03279
6.63,3.04999
6.64,2.96392
6.65,3.0409
6.66,3.02531
6.67,3.13023
6.68,3.03701
6.69,3.12633
6.7,3.12266
6.71,3.10047
6.72,3.15028
6.73,3.23894
6.74,3.22643
6.75,3.24662
6.76,3.12792
6.77,3.17926
6.78,3.20869
6.79,3.26529
6.8,3.26369
6.81,3.10435
6.82,3.1852
6.83,3.1854
6.84,3.24264
6.85,3.17895
6.86,3.20515
6.87,3.11852
6.88,3.06675
6.89,3.07256
6.9,3.09196
6.91,3.04302
6.92,3.06686
6.93,3.19421
6.94,3.08297
6.95,3.03893
6.96,3.1855
6.97,3.14686
6.98,3.16732
6.99,3.10215
7,3.02104
7.01,3.09299
7.02,2.99206
7.03,3.20894
7.04,3.19311
7.05,3.25756
7.06,3.22039
7.07,3.25578
7.08,3.25095
7.09,3.27403
7.1,3.32256
7.11,3.09978
7.12,3.28116
7.13,3.18826
7.14,3.2746
7.15,3.25505
7.16,3.36762
7.17,3.24747
7.18,3.20169
7.19,3.34096
7.2,3.22874
7.21,3.4641
7.22,3.40743
7.23,3.27028
7.24,3.21769
7.25,3.33473
7.26,3.22847
7.27,3.20652
7.28,3.19362
7.29,3.11516
7.3,3.09066
7.31,3.20761
7.32,3.26393
7.33,3.19477
7.34,3.21675
7.35,3.20164
7.36,3.26097
7.37,3.15651
7.38,3.12966
7.39,3.1314
7.4,3.10155
7.41,3.21303
7.42,3.27178
7.43,3.31762
7.44,3.27175
7.45,3.16849
7.46,3.22884
7.47,3.09375
7.48,3.40902
7.49,3.39852
7.5,3.48141
7.51,3.23791
7.52,3.29866
7.53,3.29323
7.54,3.36478
7.55,3.24587
7.56,3.34209
7.57,3.3605
7.58,3.2871
7.59,3.21507
7.6,3.26437
7.61,3.1913
7.62,3.13081
7.63,3.30191
7.64,3.10894
7.65,3.26212
7.66,3.34732
7.67,3.21571
7.68,3.24794
7.69,3.2817
7.7,3.41269
7.71,3.36178
7.72,3.28893
7.73,3.31778
7.74,3.22856
7.75,3.3383
7.76,3.32595
7.77,3.25209
7.78,3.18175
7.79,3.21226
7.8,3.11609
7.81,3.20283
7.82,3.17248
7.83,3.11205
7.84,3.09914
7.85,3.15725
7.86,3.0702
7.87,3.0821
7.88,3.17028
7.89,3.10975
7.9,3.16065
7.91,3.22379
7.92,3.1474
7.93,3.1286
7.94,3.2109
7.95,3.29103
7.96,3.08268
7.97,3.10853
7.98,3.05577
7.99,3.06135
8,3.02879
8.01,3.15818
8.02,3.0008
8.03,3.14027
8.04,3.14218
8.05,3.01385
8.06,3.1625
8.07,3.16662
8.08,3.19237
8.09,3.1598
8.1,3.13738
8.11,3.23424
8.12,3.2719
8.13,3.37908
8.14,3.39481
8.15,3.3116
8.16,3.27702
8.17,3.29944
8.18,3.39875
8.19,3.37204
8.2,3.46277
8.21,3.27362
8.22,3.25991
8.23,3.21921
8.24,3.36728
8.25,3.33282
8.26,3.38507
8.27,3.42779
8.28,3.45442
8.29,3.47221
8.3,3.44965
8.31,3.54865
8.32,3.53653
8.33,3.51733
8.34,3.48388
8.35,3.46938
8.36,3.4502
8.37,3.37847
8.38,3.48328
8.39,3.47493
8.4,3.51127
8.41,3.4785
8.42,3.56228
8.43,3.44526
8.44,3.45362
8.45,3.43398
8.46,3.42175
8.47,3.45763
8.48,3.45477
8.49,3.46062
8.5,3.45987
8.51,3.5203
8.52,3.56658
8.53,3.44277
8.54,3.48644
8.55,3.36947
8.56,3.42385
8.57,3.51559
8.58,3.53391
8.59,3.43757
8.6,3.51864
8.61,3.47555
8.62,3.42541
8.63,3.36364
8.64,3.4324
8.65,3.34958
8.66,3.35807
8.67,3.35506
8.68,3.39747
8.69,3.48656
8.7,3.56303
8.71,3.40455
8.72,3.38584
8.73,3.48218
8.74,3.38408
