"Time (ns)","RMSD (Å)"
0.01,0
0.02,0.764826
0.03,0.880402
0.04,1.1008
0.05,1.20755
0.06,1.04342
0.07,1.19077
0.08,1.17255
0.09,1.12258
0.1,1.19416
0.11,1.23607
0.12,1.34706
0.13,1.42665
0.14,1.53501
0.15,1.53045
0.16,1.64606
0.17,1.72966
0.18,1.69307
0.19,1.67858
0.2,1.51054
0.21,1.62285
0.22,1.5629
0.23,1.56414
0.24,1.60484
0.25,1.70726
0.26,1.60991
0.27,1.56357
0.28,1.51423
0.29,1.56238
0.3,1.43656
0.31,1.48218
0.32,1.49333
0.33,1.46509
0.34,1.33584
0.35,1.37914
0.36,1.4162
0.37,1.471
0.38,1.4406
0.39,1.42711
0.4,1.55253
0.41,1.50269
0.42,1.3717
0.43,1.43675
0.44,1.46796
0.45,1.52112
0.46,1.64339
0.47,1.68743
0.48,1.67825
0.49,1.57914
0.5,1.55889
0.51,1.45538
0.52,1.44349
0.53,1.4694
0.54,1.52787
0.55,1.51902
0.56,1.59735
0.57,1.61382
0.58,1.64709
0.59,1.67264
0.6,1.59682
0.61,1.70622
0.62,1.66551
0.63,1.64914
0.64,1.62637
0.65,1.60647
0.66,1.65793
0.67,1.59003
0.68,1.60427
0.69,1.55787
0.7,1.60024
0.71,1.54031
0.72,1.57824
0.73,1.62295
0.74,1.68013
0.75,1.53871
0.76,1.53963
0.77,1.67463
0.78,1.67294
0.79,1.67534
0.8,1.60896
0.81,1.6077
0.82,1.56035
0.83,1.53183
0.84,1.55705
0.85,1.59561
0.86,1.71004
0.87,1.58529
0.88,1.57515
0.89,1.64764
0.9,1.61803
0.91,1.58479
0.92,1.56969
0.93,1.68771
0.94,1.63851
0.95,1.71713
0.96,1.67211
0.97,1.60186
0.98,1.60121
0.99,1.58239
1,1.63965
1.01,1.57095
1.02,1.55172
1.03,1.57926
1.04,1.63951
1.05,1.74929
1.06,1.65439
1.07,1.57428
1.08,1.5813
1.09,1.74835
1.1,1.66288
1.11,1.60079
1.12,1.54218
1.13,1.47604
1.14,1.51916
1.15,1.5265
1.16,1.47618
1.17,1.58949
1.18,1.57406
1.19,1.54545
1.2,1.55672
1.21,1.52847
1.22,1.52836
1.23,1.50858
1.24,1.53376
1.25,1.50475
1.26,1.52842
1.27,1.58238
1.28,1.55807
1.29,1.53416
1.3,1.43977
1.31,1.55089
1.32,1.64347
1.33,1.70399
1.34,1.78927
1.35,1.74992
1.36,1.70085
1.37,1.6865
1.38,1.74138
1.39,1.71262
1.4,1.6464
1.41,1.5463
1.42,1.66191
1.43,1.69781
1.44,1.69853
1.45,1.77519
1.46,1.78413
1.47,1.65847
1.48,1.67621
1.49,1.66705
1.5,1.80358
1.51,1.70093
1.52,1.71541
1.53,1.69557
1.54,1.73106
1.55,1.59339
1.56,1.61248
1.57,1.56624
1.58,1.50648
1.59,1.67473
1.6,1.54682
1.61,1.67826
1.62,1.65511
1.63,1.60764
1.64,1.59637
1.65,1.63295
1.66,1.6191
1.67,1.71756
1.68,1.70628
1.69,1.78738
1.7,1.83633
1.71,1.92244
1.72,1.9386
1.73,1.96317
1.74,1.8774
1.75,1.83773
1.76,1.70557
1.77,1.60344
1.78,1.84172
1.79,1.76504
1.8,1.75261
1.81,1.86587
1.82,1.88315
1.83,1.76701
1.84,1.82608
1.85,1.80334
1.86,1.85597
1.87,1.78291
1.88,1.87171
1.89,1.97611
1.9,1.98081
1.91,1.98055
1.92,1.96833
1.93,1.90169
1.94,1.92411
1.95,1.78612
1.96,1.83251
1.97,1.77807
1.98,1.85723
1.99,1.93274
2,1.92044
2.01,1.83616
2.02,1.89513
2.03,1.90573
2.04,1.94952
2.05,1.93752
2.06,1.85777
2.07,1.83668
2.08,1.80897
2.09,1.76431
2.1,1.84517
2.11,1.73754
2.12,1.82699
2.13,1.86713
2.14,1.83956
2.15,1.87488
2.16,1.93384
2.17,1.92404
2.18,1.89284
2.19,1.8288
2.2,1.90289
2.21,1.9608
2.22,1.87145
2.23,1.94405
2.24,1.91298
2.25,1.92558
2.26,2.02509
2.27,1.85555
2.28,2.02329
2.29,1.92819
2.3,1.94439
2.31,1.85355
2.32,1.89305
2.33,1.91935
2.34,1.92574
2.35,1.93387
2.36,1.93948
2.37,1.89217
2.38,1.88108
2.39,1.86706
2.4,1.80772
2.41,1.85843
2.42,1.9141
2.43,1.94811
2.44,1.98011
2.45,1.90402
2.46,1.80185
2.47,1.90981
2.48,1.82443
2.49,1.78943
2.5,1.78385
2.51,1.84572
2.52,1.90445
2.53,1.90808
2.54,1.98831
2.55,1.93251
2.56,1.79151
2.57,1.85713
2.58,1.83454
2.59,1.94176
2.6,1.83542
2.61,1.93302
2.62,1.97403
2.63,1.92079
2.64,1.99575
2.65,1.89361
2.66,1.89188
2.67,1.95639
2.68,1.92321
2.69,1.95919
2.7,1.85352
2.71,1.89289
2.72,1.80679
2.73,1.76756
2.74,1.91516
2.75,1.82802
2.76,1.87747
2.77,1.96156
2.78,1.99421
2.79,1.97336
2.8,1.94872
2.81,1.95977
2.82,1.94407
2.83,1.82885
2.84,1.84758
2.85,1.81257
2.86,1.91178
2.87,1.88587
2.88,1.85845
2.89,1.81745
2.9,1.81697
2.91,1.84394
2.92,1.82849
2.93,1.75675
2.94,1.88678
2.95,1.85796
2.96,1.77581
2.97,1.81678
2.98,1.68845
2.99,1.7903
3,1.73363
3.01,1.80127
3.02,1.71105
3.03,1.7814
3.04,1.7279
3.05,1.78861
3.06,1.78457
3.07,1.81998
3.08,1.80735
3.09,1.71459
3.1,1.68507
3.11,1.78085
3.12,1.71492
3.13,1.68487
3.14,1.71665
3.15,1.61018
3.16,1.59308
3.17,1.6094
3.18,1.7735
3.19,1.80235
3.2,1.75149
3.21,1.6966
3.22,1.85247
3.23,1.89206
3.24,1.82108
3.25,1.89266
3.26,1.92056
3.27,1.87198
3.28,1.86528
3.29,1.88356
3.3,1.87693
3.31,1.92208
3.32,1.81633
3.33,1.77043
3.34,1.78144
3.35,1.77181
3.36,1.78104
3.37,1.79392
3.38,1.82418
3.39,1.90096
3.4,1.95991
3.41,1.93279
3.42,1.98652
3.43,1.91936
3.44,1.89177
3.45,1.92698
3.46,1.9669
3.47,1.97448
3.48,1.92796
3.49,1.91269
3.5,1.96934
3.51,1.97139
3.52,2.01946
3.53,1.96
3.54,1.90949
3.55,1.92571
3.56,2.02763
3.57,2.07649
3.58,2.03162
3.59,2.04267
3.6,2.01703
3.61,2.05737
3.62,2.00965
3.63,2.06558
3.64,2.06511
3.65,2.10254
3.66,2.06387
3.67,2.02872
3.68,2.03751
3.69,1.93933
3.7,1.95072
3.71,2.01955
3.72,1.98425
3.73,2.07218
3.74,2.05936
3.75,2.20279
3.76,2.10285
3.77,2.11659
3.78,2.08506
3.79,2.08706
3.8,1.99562
3.81,1.97712
3.82,2.00874
3.83,2.04058
3.84,2.00747
3.85,1.91176
3.86,2.00618
3.87,2.00137
3.88,2.03314
3.89,2.12144
3.9,2.09831
3.91,2.07802
3.92,2.02188
3.93,1.99839
3.94,1.94197
3.95,2.02718
3.96,2.02706
3.97,2.11417
3.98,2.1903
3.99,2.2034
4,2.11179
4.01,2.15498
4.02,2.02887
4.03,2.00317
4.04,2.04147
4.05,2.02938
4.06,2.09546
4.07,2.03164
4.08,1.99522
4.09,2.02078
4.1,2.06617
4.11,2.16762
4.12,2.03147
4.13,2.08465
4.14,2.14166
4.15,2.14435
4.16,2.19448
4.17,2.20823
4.18,2.12297
4.19,2.03653
4.2,2.07212
4.21,2.06543
4.22,2.06224
4.23,2.01036
4.24,1.96506
4.25,2.13325
4.26,2.08686
4.27,2.07685
4.28,2.1206
4.29,2.18744
4.3,2.18464
4.31,2.164
4.32,2.15025
4.33,2.08984
4.34,2.14254
4.35,2.07558
4.36,2.21042
4.37,2.17726
4.38,2.23084
4.39,2.1333
4.4,2.15048
4.41,2.19068
4.42,2.16668
4.43,2.16049
4.44,2.1346
4.45,2.1671
4.46,2.03638
4.47,1.97277
4.48,2.05542
4.49,1.98908
4.5,1.96732
4.51,2.05585
4.52,2.06149
4.53,2.02719
4.54,2.00157
4.55,1.93446
4.56,2.05875
4.57,2.05098
4.58,2.00192
4.59,2.06858
4.6,1.98019
4.61,2.14713
4.62,2.05454
4.63,2.01961
4.64,2.03063
4.65,2.14551
4.66,2.143
4.67,2.1007
4.68,2.07969
4.69,1.951
4.7,2.06525
4.71,2.00892
4.72,1.985
4.73,2.03233
4.74,2.0534
4.75,2.05972
4.76,2.05227
4.77,2.03876
4.78,1.96125
4.79,1.94863
4.8,2.0281
4.81,1.98997
4.82,1.96962
4.83,1.92958
4.84,1.97846
4.85,1.99043
4.86,1.97975
4.87,2.01221
4.88,1.96343
4.89,1.94706
4.9,1.96527
4.91,1.97493
4.92,2.02616
4.93,1.97913
4.94,2.10638
4.95,1.99592
4.96,1.98584
4.97,1.98997
4.98,2.01023
4.99,1.9509
5,1.88723
5.01,1.92571
5.02,1.92529
5.03,1.92443
5.04,1.9581
5.05,1.92774
5.06,1.92261
5.07,1.83125
5.08,1.96038
5.09,1.99208
5.1,1.99345
5.11,1.91996
5.12,1.96195
5.13,1.88673
5.14,1.84269
5.15,1.90796
5.16,1.92434
5.17,1.98579
5.18,2.02305
5.19,1.99906
5.2,1.96432
5.21,1.93549
5.22,2.02822
5.23,2.0943
5.24,2.00538
5.25,1.94569
5.26,2.06233
5.27,1.95175
5.28,1.95848
5.29,1.94206
5.3,2.04425
5.31,2.01451
5.32,1.89864
5.33,2.00754
5.34,1.99626
5.35,1.96464
5.36,1.86481
5.37,1.87315
5.38,1.99605
5.39,1.90685
5.4,1.85921
5.41,1.84515
5.42,1.87794
5.43,1.8571
5.44,1.94197
5.45,1.86799
5.46,1.91459
5.47,1.9375
5.48,1.963
5.49,1.9843
5.5,1.92537
5.51,1.96859
5.52,1.93166
5.53,2.00228
5.54,1.98532
5.55,1.97302
5.56,1.9823
5.57,1.96922
5.58,1.88442
5.59,1.99013
5.6,1.95784
5.61,1.9063
5.62,1.96681
5.63,1.83656
5.64,1.85482
5.65,1.99527
5.66,1.97098
5.67,1.99941
5.68,2.03269
5.69,2.00609
5.7,2.0685
5.71,2.0808
5.72,2.0323
5.73,2.08625
5.74,1.93378
5.75,1.99545
5.76,1.94843
5.77,2.02528
5.78,2.03694
5.79,2.00687
5.8,2.06679
5.81,1.99135
5.82,1.95436
5.83,1.77211
5.84,1.69394
5.85,1.69186
5.86,1.74842
5.87,1.76701
5.88,1.91918
5.89,1.97739
5.9,2.04122
5.91,1.93006
5.92,1.84798
5.93,1.90019
5.94,1.90997
5.95,1.88775
5.96,1.86868
5.97,1.89675
5.98,1.89227
5.99,1.92198
6,2.04598
6.01,1.96592
6.02,2.015
6.03,2.00527
6.04,2.01531
6.05,1.92443
6.06,2.00011
6.07,2.08093
6.08,2.03509
6.09,1.98909
6.1,1.96663
6.11,2.00182
6.12,2.00001
6.13,2.06354
6.14,1.98915
6.15,2.04366
6.16,2.15606
6.17,2.12239
6.18,2.06342
6.19,2.04471
6.2,1.94227
6.21,1.92432
6.22,2.05551
6.23,1.95931
6.24,1.99089
6.25,1.95431
6.26,1.93141
6.27,1.97421
6.28,1.94656
6.29,2.03404
6.3,1.96096
6.31,1.94296
6.32,1.97165
6.33,1.85709
6.34,1.9356
6.35,1.90191
6.36,1.9846
6.37,1.95937
6.38,1.96627
6.39,1.99621
6.4,2.01712
6.41,1.98893
6.42,2.05427
6.43,2.12129
6.44,2.08008
6.45,2.06609
6.46,1.91694
6.47,1.9954
6.48,2.0765
6.49,1.98666
6.5,2.05577
6.51,2.03523
6.52,2.01434
6.53,1.99994
6.54,2.00968
6.55,2.02848
6.56,1.98516
6.57,1.97689
6.58,2.08881
6.59,2.07958
6.6,2.02555
6.61,2.06633
6.62,2.00913
6.63,2.07011
6.64,2.04983
6.65,2.06403
6.66,2.05277
6.67,2.06377
6.68,2.06064
6.69,2.01878
6.7,2.05512
6.71,2.00343
6.72,2.02013
6.73,2.0117
6.74,2.00454
6.75,1.96145
6.76,1.99555
6.77,1.96065
6.78,1.93021
6.79,2.04238
6.8,1.96243
6.81,2.06596
6.82,2.04628
6.83,2.11559
6.84,2.00528
6.85,2.00644
6.86,2.12829
6.87,2.16932
6.88,2.06111
6.89,2.12311
6.9,2.03856
6.91,2.01046
6.92,2.08765
6.93,2.07235
6.94,2.00943
6.95,2.1131
6.96,2.1525
6.97,2.13077
6.98,2.0997
6.99,2.07905
7,2.06408
7.01,1.97463
7.02,2.05429
7.03,2.02377
7.04,2.05803
7.05,2.09443
7.06,2.02034
7.07,1.92234
7.08,1.9768
7.09,1.99798
7.1,1.95566
7.11,2.01766
7.12,1.91108
7.13,2.00226
7.14,2.00699
7.15,2.0527
7.16,1.92235
7.17,2.01334
7.18,1.97158
7.19,1.9904
7.2,1.95036
7.21,1.97842
7.22,1.97182
7.23,1.98752
7.24,2.04446
7.25,1.99103
7.26,1.97899
7.27,2.06542
7.28,2.00156
7.29,2.05261
7.3,2.00108
7.31,2.0224
7.32,1.97738
7.33,1.96777
7.34,2.0604
7.35,2.00991
7.36,2.03338
7.37,1.96918
7.38,1.87038
7.39,1.94879
7.4,1.95698
7.41,1.99662
7.42,1.91255
7.43,1.96819
7.44,2.06174
7.45,1.9741
7.46,2.0078
7.47,2.02425
7.48,2.03301
7.49,2.08143
7.5,1.94421
7.51,1.93598
7.52,2.03934
7.53,2.03547
7.54,2.02609
7.55,2.00453
7.56,2.00474
7.57,2.08905
7.58,1.99628
7.59,2.00951
7.6,2.05096
7.61,1.98649
7.62,2.03837
7.63,1.96883
7.64,2.01079
7.65,1.92198
7.66,1.92227
7.67,1.97177
7.68,1.98214
7.69,1.97834
7.7,1.87907
7.71,1.85618
7.72,1.87717
7.73,1.88602
7.74,1.9302
7.75,1.96405
7.76,2.0064
7.77,1.94491
7.78,1.82619
7.79,1.8853
7.8,1.8534
7.81,1.89261
7.82,1.9401
7.83,1.98208
7.84,2.06166
7.85,2.04161
7.86,2.13513
7.87,2.03634
7.88,2.12048
7.89,2.1031
7.9,2.08945
7.91,2.04814
7.92,2.10139
7.93,2.0867
7.94,1.9935
7.95,2.04921
7.96,2.07146
7.97,2.08416
7.98,2.04058
7.99,2.06671
8,2.0396
8.01,2.08829
8.02,2.04889
8.03,2.09031
8.04,2.07861
8.05,2.0764
8.06,2.02979
8.07,2.095
8.08,2.1061
8.09,2.1392
8.1,2.07658
8.11,2.16025
8.12,2.07828
8.13,2.07883
8.14,2.11801
8.15,2.17224
8.16,2.08428
8.17,2.01677
8.18,2.09193
8.19,2.05276
8.2,1.96153
8.21,1.99194
8.22,2.0368
8.23,2.04186
8.24,2.03953
8.25,2.15533
8.26,2.11635
8.27,2.16276
8.28,2.10293
8.29,2.1549
8.3,2.11078
8.31,2.04338
8.32,1.99632
8.33,1.96858
8.34,2.01134
8.35,2.16478
8.36,2.04009
8.37,2.17072
8.38,2.05462
8.39,2.06541
8.4,2.05544
8.41,2.0335
8.42,2.01584
8.43,2.09754
8.44,2.01309
8.45,2.0607
8.46,2.08952
8.47,2.10679
8.48,2.11561
8.49,2.13118
8.5,2.08321
8.51,2.10725
8.52,2.13537
8.53,2.1085
8.54,2.07233
8.55,2.10707
8.56,2.15611
8.57,2.13938
8.58,2.08727
8.59,2.13292
8.6,2.05131
8.61,2.12369
8.62,2.16061
8.63,2.13082
8.64,2.19841
8.65,2.14336
8.66,2.08356
8.67,2.17348
8.68,2.13464
8.69,2.10409
8.7,1.9878
8.71,2.02909
8.72,1.99788
8.73,1.99529
8.74,2.05446
8.75,2.13591
8.76,2.05525
8.77,2.09291
8.78,2.06035
8.79,2.17286
8.8,2.09092
8.81,2.0702
8.82,2.11009
8.83,1.9564
8.84,2.0567
8.85,2.04809
8.86,2.09186
8.87,1.93916
8.88,2.02126
8.89,1.98327
8.9,1.96801
8.91,1.98361
8.92,1.9582
8.93,2.03171
8.94,1.98065
8.95,1.93467
8.96,1.93771
8.97,2.02648
8.98,2.05635
8.99,2.04197
9,2.03119
9.01,2.01224
9.02,2.00389
9.03,2.02348
9.04,2.09138
9.05,2.04787
9.06,1.95699
9.07,1.96478
9.08,1.97955
9.09,2.00868
9.1,2.07519
9.11,2.04354
9.12,2.05588
9.13,2.06221
9.14,2.10123
9.15,2.07848
9.16,2.06546
9.17,2.07701
9.18,2.10143
9.19,2.06877
9.2,2.09389
9.21,2.05495
9.22,2.04194
9.23,2.06923
9.24,2.11141
9.25,2.10036
9.26,2.06491
9.27,2.01085
9.28,2.04271
9.29,2.06324
9.3,2.08946
9.31,1.99913
9.32,2.10876
9.33,1.99968
9.34,2.04784
9.35,2.05255
9.36,2.03685
9.37,2.09656
9.38,1.99426
9.39,2.04795
9.4,1.9902
9.41,2.0318
9.42,2.01266
9.43,2.03828
9.44,1.99752
9.45,1.90751
9.46,2.01095
9.47,1.97756
9.48,1.87498
9.49,2.01173
