"Time (ns)","RMSD (Å)"
0.01,0
0.02,0.761742
0.03,0.884334
0.04,0.920885
0.05,0.982958
0.06,1.01196
0.07,1.01558
0.08,1.12248
0.09,1.22007
0.1,1.31066
0.11,1.26747
0.12,1.3433
0.13,1.35963
0.14,1.41875
0.15,1.33472
0.16,1.35537
0.17,1.42229
0.18,1.52418
0.19,1.45086
0.2,1.60297
0.21,1.59631
0.22,1.56866
0.23,1.57881
0.24,1.61689
0.25,1.60744
0.26,1.6057
0.27,1.58829
0.28,1.58365
0.29,1.605
0.3,1.6352
0.31,1.5619
0.32,1.63658
0.33,1.56315
0.34,1.55775
0.35,1.59245
0.36,1.77072
0.37,1.66365
0.38,1.63005
0.39,1.60058
0.4,1.69526
0.41,1.73904
0.42,1.7939
0.43,1.85878
0.44,1.82213
0.45,1.84095
0.46,2.00918
0.47,2.10422
0.48,2.17754
0.49,1.99152
0.5,2.08367
0.51,2.12758
0.52,2.27304
0.53,2.24052
0.54,2.24508
0.55,2.36385
0.56,2.391
0.57,2.51622
0.58,2.58744
0.59,2.51034
0.6,2.51209
0.61,2.32751
0.62,2.22573
0.63,2.23421
0.64,2.37714
0.65,2.33045
0.66,2.2718
0.67,2.40893
0.68,2.42607
0.69,2.42119
0.7,2.4333
0.71,2.40942
0.72,2.42741
0.73,2.41769
0.74,2.36404
0.75,2.3926
0.76,2.41923
0.77,2.84959
0.78,2.73521
0.79,2.85107
0.8,3.12518
0.81,3.03146
0.82,2.87757
0.83,2.77587
0.84,2.58632
0.85,2.77027
0.86,2.90118
0.87,2.90876
0.88,2.7241
0.89,2.72684
0.9,2.61116
0.91,2.67299
0.92,2.69946
0.93,2.69436
0.94,2.78254
0.95,2.56292
0.96,2.63796
0.97,2.60566
0.98,2.58859
0.99,2.80511
1,2.57306
1.01,2.73834
1.02,2.62511
1.03,2.56066
1.04,2.67577
1.05,2.59172
1.06,2.72865
1.07,2.31707
1.08,2.49807
1.09,2.5193
1.1,2.48231
1.11,2.47013
1.12,2.38843
1.13,2.44454
1.14,2.32139
1.15,2.21829
1.16,2.43557
1.17,2.34079
1.18,2.22886
1.19,2.13496
1.2,1.99246
1.21,1.99124
1.22,2.15976
1.23,2.07515
1.24,2.31172
1.25,2.22835
1.26,2.16808
1.27,2.31135
1.28,2.2663
1.29,2.24044
1.3,2.34831
1.31,2.34659
1.32,2.24887
1.33,2.27292
1.34,2.17653
1.35,2.13217
1.36,2.2531
