Time (ns),RMSD (Å),RMSD (Å),RMSD (Å),Variance,Average,Standard deviation 
0.01,0,0,0,0,0,0
0.02,0.882435,0.778729,0.778729,0.002389985,0.813297667,0.048887477
0.03,0.961524,0.904366,0.904366,0.000726008,0.923418667,0.02694454
0.04,1.09994,0.913208,0.913208,0.007748631,0.975452,0.088026309
0.05,1.23325,0.98093,0.98093,0.014147863,1.065036667,0.118944789
0.06,1.31691,1.07034,1.07034,0.013510392,1.15253,0.116234213
0.07,1.32161,1.08552,1.08552,0.012386331,1.164216667,0.111293893
0.08,1.30352,1.11655,1.11655,0.007768396,1.178873333,0.088138503
0.09,1.34457,1.22766,1.22766,0.003037322,1.26663,0.055111903
0.1,1.33173,1.15359,1.15359,0.007051969,1.21297,0.083976001
0.11,1.48312,1.24543,1.24543,0.012554786,1.32466,0.112048141
0.12,1.42096,1.26603,1.26603,0.005334068,1.317673333,0.073034702
0.13,1.40846,1.27743,1.27743,0.003815302,1.321106667,0.061768134
0.14,1.37063,1.20621,1.20621,0.006007541,1.261016667,0.077508331
0.15,1.32851,1.21426,1.21426,0.002900681,1.252343333,0.053857967
0.16,1.38049,1.25666,1.25666,0.003407526,1.297936667,0.058374022
0.17,1.24991,1.22357,1.22357,0.000154177,1.23235,0.012416795
0.18,1.33935,1.19985,1.19985,0.0043245,1.24635,0.065760931
0.19,1.49177,1.24272,1.24272,0.013783534,1.325736667,0.117403296
0.2,1.43294,1.2083,1.2083,0.011214029,1.28318,0.105896312
0.21,1.51426,1.18082,1.18082,0.024707163,1.291966667,0.157185123
0.22,1.53039,1.29026,1.29026,0.01281387,1.370303333,0.113198368
0.23,1.59257,1.32025,1.32025,0.016479596,1.411023333,0.128372879
0.24,1.63617,1.34342,1.34342,0.019045014,1.441003333,0.138003673
0.25,1.54725,1.34268,1.34268,0.009299752,1.41087,0.096435223
0.26,1.58318,1.46818,1.46818,0.002938889,1.506513333,0.05421152
0.27,1.56976,1.38567,1.38567,0.007530917,1.447033333,0.086780858
0.28,1.59581,1.39267,1.39267,0.009170191,1.460383333,0.095761114
0.29,1.58515,1.37074,1.37074,0.010215922,1.44221,0.101073843
0.3,1.51815,1.37891,1.37891,0.004308395,1.425323333,0.065638365
0.31,1.56249,1.33407,1.33407,0.011594599,1.41021,0.107678221
0.32,1.63291,1.32185,1.32185,0.02150185,1.425536667,0.14663509
0.33,1.74151,1.35653,1.35653,0.032935467,1.484856667,0.181481312
0.34,1.62972,1.36508,1.36508,0.015563184,1.453293333,0.124752492
0.35,1.59363,1.38826,1.38826,0.00937263,1.456716667,0.096812346
0.36,1.65658,1.29405,1.29405,0.029206222,1.414893333,0.170898281
0.37,1.61196,1.30005,1.30005,0.021619522,1.40402,0.147035784
0.38,1.56091,1.47242,1.47242,0.001740107,1.501916667,0.041714586
0.39,1.64641,1.45177,1.45177,0.008418829,1.51665,0.091754176
0.4,1.60154,1.52043,1.52043,0.001461963,1.547466667,0.038235621
0.41,1.68032,1.52513,1.52513,0.005351986,1.57686,0.073157268
0.42,1.70213,1.5062,1.5062,0.008530792,1.57151,0.092362288
0.43,1.69822,1.55687,1.55687,0.004439961,1.603986667,0.066633029
0.44,1.67399,1.66797,1.66797,8.05E-06,1.669976667,0.002837855
0.45,1.65427,1.70952,1.70952,0.000678347,1.691103333,0.0260451
0.46,1.61741,1.68646,1.68646,0.001059534,1.663443333,0.032550482
0.47,1.62924,1.72724,1.72724,0.002134222,1.694573333,0.046197643
0.48,1.68235,1.64138,1.64138,0.000373009,1.655036667,0.019313443
0.49,1.72531,1.60303,1.60303,0.003322755,1.64379,0.057643345
0.5,1.75522,1.71548,1.71548,0.000350948,1.728726667,0.018733616
0.51,1.69705,1.71164,1.71164,4.73E-05,1.706776667,0.006877792
0.52,1.65344,1.65955,1.65955,8.30E-06,1.657513333,0.002880282
0.53,1.62285,1.59159,1.59159,0.000217153,1.60201,0.014736105
0.54,1.61819,1.57737,1.57737,0.000370283,1.590976667,0.019242733
0.55,1.65513,1.55647,1.55647,0.002163066,1.589356667,0.04650877
0.56,1.59201,1.58519,1.58519,1.03E-05,1.587463333,0.003214979
0.57,1.55561,1.60095,1.60095,0.000456826,1.585836667,0.021373481
0.58,1.6134,1.6846,1.6846,0.001126542,1.660866667,0.033564002
0.59,1.64179,1.59114,1.59114,0.000570094,1.608023333,0.023876639
0.6,1.67134,1.63171,1.63171,0.000349008,1.64492,0.018681761
0.61,1.76597,1.61836,1.61836,0.004841936,1.667563333,0.069584021
0.62,1.6903,1.63953,1.63953,0.000572798,1.656453333,0.023933208
0.63,1.72331,1.62249,1.62249,0.002258816,1.656096667,0.047527004
0.64,1.75821,1.5249,1.5249,0.012096346,1.60267,0.109983389
0.65,1.7644,1.53939,1.53939,0.011251,1.614393333,0.106070731
0.66,1.62606,1.67415,1.67415,0.000513922,1.65812,0.022669843
0.67,1.58073,1.71173,1.71173,0.003813556,1.668063333,0.061753992
0.68,1.58167,1.65382,1.65382,0.001156805,1.62977,0.034011836
0.69,1.73667,1.74491,1.74491,1.51E-05,1.742163333,0.003884373
0.7,1.5596,1.7641,1.7641,0.009293389,1.695933333,0.096402225
0.71,1.66006,1.76215,1.76215,0.002316082,1.72812,0.048125688
0.72,1.70539,1.69005,1.69005,5.23E-05,1.695163333,0.007231345
0.73,1.82591,1.62152,1.62152,0.009283394,1.68965,0.09635037
0.74,1.80934,1.69391,1.69391,0.002960908,1.732386667,0.054414224
0.75,1.74857,1.66121,1.66121,0.001695949,1.69033,0.041181899
0.76,1.75504,1.56193,1.56193,0.008286994,1.6263,0.091032927
0.77,1.82499,1.64713,1.64713,0.007029818,1.706416667,0.083844008
0.78,1.85445,1.63973,1.63973,0.010245484,1.711303333,0.101219979
0.79,1.738,1.62394,1.62394,0.002891041,1.66196,0.0537684
0.8,1.72303,1.61671,1.61671,0.002511987,1.65215,0.050119729
0.81,1.83836,1.4793,1.4793,0.028649796,1.598986667,0.169262507
0.82,1.69107,1.60791,1.60791,0.001536797,1.63563,0.039202
0.83,1.6829,1.54318,1.54318,0.004338151,1.589753333,0.06586464
0.84,1.74644,1.57608,1.57608,0.006449451,1.632866667,0.080308474
0.85,1.72834,1.58118,1.58118,0.004812459,1.630233333,0.069371889
0.86,1.81796,1.57171,1.57171,0.013475347,1.653793333,0.116083363
0.87,1.87793,1.58634,1.58634,0.018894384,1.683536667,0.137456844
0.88,1.9203,1.63468,1.63468,0.018128619,1.729886667,0.134642559
0.89,1.84452,1.64225,1.64225,0.009091812,1.709673333,0.095350992
0.9,1.77408,1.56522,1.56522,0.009693889,1.63484,0.098457548
0.91,1.73909,1.53337,1.53337,0.009404604,1.601943333,0.096977338
0.92,1.83021,1.51415,1.51415,0.02219865,1.619503333,0.148992113
0.93,1.81813,1.48492,1.48492,0.02467309,1.59599,0.1570767
0.94,1.81328,1.63636,1.63636,0.006955708,1.695333333,0.083400888
0.95,1.81847,1.62175,1.62175,0.008599724,1.687323333,0.092734697
0.96,1.87123,1.64475,1.64475,0.011398487,1.720243333,0.106763696
0.97,1.87289,1.58849,1.58849,0.01797408,1.68329,0.134067446
0.98,1.95914,1.63454,1.63454,0.02341448,1.74274,0.153017907
0.99,1.87493,1.64817,1.64817,0.011426688,1.723756667,0.106895689
1,1.8618,1.624,1.624,0.012566409,1.703266667,0.112099995
1.01,1.818,1.67572,1.67572,0.004498577,1.723146667,0.067071435
1.02,1.75191,1.75419,1.75419,1.16E-06,1.75343,0.001074802
1.03,1.7126,1.63147,1.63147,0.001462684,1.658513333,0.038245049
1.04,1.77664,1.68842,1.68842,0.001729504,1.717826667,0.041587307
1.05,1.72498,1.76239,1.76239,0.000311002,1.74992,0.017635243
1.06,1.72181,1.72239,1.72239,7.48E-08,1.722196667,0.000273415
1.07,1.67682,1.83582,1.83582,0.005618,1.78282,0.074953319
1.08,1.85797,1.73085,1.73085,0.003590999,1.773223333,0.059924943
1.09,1.86026,1.75549,1.75549,0.002439278,1.790413333,0.049389052
1.1,1.92848,1.76967,1.76967,0.005604581,1.822606667,0.074863752
1.11,1.85735,1.67565,1.67565,0.007336642,1.736216667,0.085654201
1.12,1.96259,1.69584,1.69584,0.015812347,1.784756667,0.125747156
1.13,2.00083,1.75283,1.75283,0.013667556,1.835496667,0.116908321
1.14,2.00706,1.64253,1.64253,0.02952936,1.76404,0.17184109
1.15,1.88335,1.63863,1.63863,0.013308417,1.720203333,0.115362114
1.16,1.85129,1.7104,1.7104,0.004411109,1.757363333,0.066416183
1.17,1.74888,1.71351,1.71351,0.000278008,1.7253,0.016673578
1.18,1.81326,1.71469,1.71469,0.002159121,1.747546667,0.046466344
1.19,1.87844,1.64964,1.64964,0.011633209,1.725906667,0.107857354
1.2,1.9362,1.60741,1.60741,0.024022859,1.717006667,0.154993092
1.21,1.93708,1.69027,1.69027,0.013536706,1.77254,0.11634735
1.22,2.06233,1.61694,1.61694,0.044082723,1.765403333,0.20995886
1.23,2.21202,1.66683,1.66683,0.066051586,1.84856,0.257005031
1.24,2.19096,1.65387,1.65387,0.064103482,1.8329,0.253186654
1.25,2.13246,1.73612,1.73612,0.034907866,1.868233333,0.186836468
1.26,2.19108,1.74908,1.74908,0.043414222,1.896413333,0.208360798
1.27,2.22482,1.63932,1.63932,0.076180056,1.834486667,0.276007347
1.28,2.14775,1.69049,1.69049,0.046463713,1.84291,0.215554431
1.29,2.2171,1.71238,1.71238,0.056609395,1.88062,0.23792729
1.3,2.10808,1.71443,1.71443,0.034435627,1.845646667,0.18556839
1.31,2.06279,1.64733,1.64733,0.038357114,1.785816667,0.195849722
1.32,2.09712,1.54837,1.54837,0.066917014,1.731286667,0.258683231
1.33,2.01297,1.62385,1.62385,0.033647639,1.753556667,0.183432927
1.34,2.03949,1.67195,1.67195,0.030019034,1.794463333,0.173260018
1.35,2.20646,1.66964,1.66964,0.064039047,1.84858,0.253059375
1.36,2.20116,1.68031,1.68031,0.060285494,1.853926667,0.245531045
1.37,2.15064,1.65288,1.65288,0.055058893,1.8188,0.234646314
1.38,2.11588,1.6467,1.6467,0.048917749,1.803093333,0.221173573
1.39,2.08518,1.56942,1.56942,0.059112973,1.74134,0.243131596
