"Time (ns)","RMSD (Å)"
0.01,0
0.02,0.778729
0.03,0.904366
0.04,0.913208
0.05,0.98093
0.06,1.07034
0.07,1.08552
0.08,1.11655
0.09,1.22766
0.1,1.15359
0.11,1.24543
0.12,1.26603
0.13,1.27743
0.14,1.20621
0.15,1.21426
0.16,1.25666
0.17,1.22357
0.18,1.19985
0.19,1.24272
0.2,1.2083
0.21,1.18082
0.22,1.29026
0.23,1.32025
0.24,1.34342
0.25,1.34268
0.26,1.46818
0.27,1.38567
0.28,1.39267
0.29,1.37074
0.3,1.37891
0.31,1.33407
0.32,1.32185
0.33,1.35653
0.34,1.36508
0.35,1.38826
0.36,1.29405
0.37,1.30005
0.38,1.47242
0.39,1.45177
0.4,1.52043
0.41,1.52513
0.42,1.5062
0.43,1.55687
0.44,1.66797
0.45,1.70952
0.46,1.68646
0.47,1.72724
0.48,1.64138
0.49,1.60303
0.5,1.71548
0.51,1.71164
0.52,1.65955
0.53,1.59159
0.54,1.57737
0.55,1.55647
0.56,1.58519
0.57,1.60095
0.58,1.6846
0.59,1.59114
0.6,1.63171
0.61,1.61836
0.62,1.63953
0.63,1.62249
0.64,1.5249
0.65,1.53939
0.66,1.67415
0.67,1.71173
0.68,1.65382
0.69,1.74491
0.7,1.7641
0.71,1.76215
0.72,1.69005
0.73,1.62152
0.74,1.69391
0.75,1.66121
0.76,1.56193
0.77,1.64713
0.78,1.63973
0.79,1.62394
0.8,1.61671
0.81,1.4793
0.82,1.60791
0.83,1.54318
0.84,1.57608
0.85,1.58118
0.86,1.57171
0.87,1.58634
0.88,1.63468
0.89,1.64225
0.9,1.56522
0.91,1.53337
0.92,1.51415
0.93,1.48492
0.94,1.63636
0.95,1.62175
0.96,1.64475
0.97,1.58849
0.98,1.63454
0.99,1.64817
1,1.624
1.01,1.67572
1.02,1.75419
1.03,1.63147
1.04,1.68842
1.05,1.76239
1.06,1.72239
1.07,1.83582
1.08,1.73085
1.09,1.75549
1.1,1.76967
1.11,1.67565
1.12,1.69584
1.13,1.75283
1.14,1.64253
1.15,1.63863
1.16,1.7104
1.17,1.71351
1.18,1.71469
1.19,1.64964
1.2,1.60741
1.21,1.69027
1.22,1.61694
1.23,1.66683
1.24,1.65387
1.25,1.73612
1.26,1.74908
1.27,1.63932
1.28,1.69049
1.29,1.71238
1.3,1.71443
1.31,1.64733
1.32,1.54837
1.33,1.62385
1.34,1.67195
1.35,1.66964
1.36,1.68031
1.37,1.65288
1.38,1.6467
1.39,1.56942
1.4,1.61008
1.41,1.6908
1.42,1.58659
1.43,1.55371
1.44,1.62139
1.45,1.64049
1.46,1.65279
1.47,1.55856
1.48,1.61188
1.49,1.60689
1.5,1.61594
1.51,1.67493
1.52,1.59613
1.53,1.59684
1.54,1.64355
1.55,1.69598
1.56,1.61144
1.57,1.55807
1.58,1.62106
1.59,1.6112
1.6,1.71873
1.61,1.67782
1.62,1.65898
1.63,1.66916
1.64,1.55195
1.65,1.53076
1.66,1.5724
1.67,1.53328
1.68,1.56077
1.69,1.6468
1.7,1.62261
1.71,1.64547
1.72,1.63726
1.73,1.59612
1.74,1.48504
