"Time (ns)","RMSD (Å)"
0.01,0
0.02,0.960414
0.03,1.00345
0.04,1.0576
0.05,1.05172
0.06,1.13031
0.07,1.14265
0.08,1.08085
0.09,1.16348
0.1,1.25454
0.11,1.27805
0.12,1.193
0.13,1.30867
0.14,1.28235
0.15,1.26385
0.16,1.33639
0.17,1.48445
0.18,1.57654
0.19,1.52085
0.2,1.40305
0.21,1.39519
0.22,1.36132
0.23,1.41408
0.24,1.45371
0.25,1.52477
0.26,1.51928
0.27,1.60596
0.28,1.47031
0.29,1.53652
0.3,1.42814
0.31,1.49259
0.32,1.54718
0.33,1.5216
0.34,1.46866
0.35,1.55747
0.36,1.64651
0.37,1.66451
0.38,1.67553
0.39,1.77947
0.4,1.78703
0.41,1.63933
0.42,1.72281
0.43,1.74675
0.44,1.67331
0.45,1.71058
0.46,1.73575
0.47,1.68112
0.48,1.71976
0.49,1.76283
0.5,1.71252
0.51,1.75174
0.52,1.62226
0.53,1.7326
0.54,1.66038
0.55,1.64669
0.56,1.55181
0.57,1.52538
0.58,1.56594
0.59,1.55692
0.6,1.67054
0.61,1.61467
0.62,1.62428
0.63,1.54603
0.64,1.57447
0.65,1.68727
0.66,1.62493
0.67,1.66615
0.68,1.7815
0.69,1.80869
0.7,1.73813
0.71,1.76414
0.72,1.69295
0.73,1.77513
0.74,1.62626
0.75,1.59691
0.76,1.72442
0.77,1.85495
0.78,1.73228
0.79,1.75797
0.8,1.78533
0.81,1.79484
0.82,1.81535
0.83,1.7889
0.84,1.78848
0.85,1.86589
0.86,1.76227
0.87,1.89001
0.88,1.84866
0.89,1.77335
0.9,1.86943
0.91,1.86247
0.92,1.86303
0.93,1.93372
0.94,1.87726
0.95,1.88383
0.96,1.8216
0.97,1.7095
0.98,1.8745
0.99,1.8952
1,1.92001
1.01,1.91268
1.02,1.88662
1.03,1.96566
1.04,1.94947
1.05,1.98623
1.06,1.91966
1.07,1.92898
1.08,1.93332
1.09,1.86707
1.1,1.86315
1.11,1.91693
1.12,1.85311
1.13,1.85157
1.14,1.81374
1.15,1.77834
1.16,1.70736
1.17,1.66998
1.18,1.77357
1.19,1.97113
1.2,2.01896
1.21,2.04491
1.22,1.99417
1.23,2.06703
1.24,1.93876
1.25,1.91582
1.26,1.92795
1.27,1.84926
1.28,1.85939
1.29,1.81695
1.3,1.80789
1.31,1.76759
1.32,1.72703
1.33,1.68627
1.34,1.65679
1.35,1.69679
1.36,1.71106
1.37,1.84601
1.38,1.82196
1.39,1.88218
1.4,1.91499
1.41,1.81227
1.42,1.95058
1.43,1.7887
1.44,1.72613
1.45,1.85812
1.46,1.80783
1.47,1.82335
1.48,1.8607
1.49,1.79512
1.5,1.94117
1.51,1.95635
1.52,1.95728
1.53,1.89504
1.54,1.92128
1.55,1.91074
1.56,2.00479
1.57,1.93806
1.58,2.0066
1.59,2.02861
1.6,1.962
1.61,1.81852
1.62,1.81034
1.63,1.88042
1.64,1.80813
1.65,1.90915
1.66,1.91582
1.67,1.90515
1.68,1.93181
1.69,1.93034
1.7,1.78076
1.71,1.85733
1.72,2.09744
1.73,1.86268
1.74,1.92999
1.75,2.03577
1.76,1.89061
1.77,1.99511
1.78,1.96945
1.79,1.86846
1.8,1.88884
1.81,1.79097
1.82,1.81119
1.83,1.77816
1.84,1.8459
1.85,1.92329
1.86,1.81046
1.87,1.8899
1.88,1.89982
1.89,1.89554
1.9,1.82156
1.91,1.81578
1.92,1.92918
1.93,1.82335
1.94,1.754
1.95,1.7926
1.96,1.79153
1.97,1.77385
1.98,1.75931
1.99,1.80101
2,1.89609
2.01,1.75005
2.02,1.80969
2.03,1.85268
2.04,1.91296
2.05,1.96269
2.06,2.04898
2.07,1.94597
2.08,1.91059
2.09,1.85166
2.1,1.8687
2.11,1.87848
2.12,1.88106
2.13,1.92314
2.14,1.95744
2.15,1.85819
2.16,1.95434
2.17,1.90162
2.18,1.9581
2.19,1.96555
2.2,1.91783
2.21,1.9441
2.22,1.90721
2.23,1.97697
2.24,1.98756
2.25,2.08839
2.26,1.98494
2.27,2.15395
2.28,2.10857
2.29,2.05216
2.3,1.94507
2.31,1.99824
2.32,2.02113
2.33,1.88059
2.34,1.82186
2.35,1.75692
2.36,1.77576
2.37,1.78296
2.38,1.78454
2.39,1.77004
2.4,1.80098
2.41,1.95797
2.42,1.92323
2.43,2.05156
2.44,2.0544
2.45,2.0161
2.46,1.93858
2.47,1.97758
2.48,2.06699
2.49,2.17583
2.5,2.09235
2.51,2.08277
2.52,2.26881
2.53,2.27002
2.54,2.22329
2.55,2.14173
2.56,2.18334
2.57,2.15698
2.58,2.09767
2.59,2.14533
2.6,2.12072
2.61,2.07089
2.62,2.05247
2.63,2.06409
2.64,1.98644
2.65,2.01208
2.66,1.98759
2.67,2.03169
2.68,2.06277
2.69,2.04647
2.7,2.10094
2.71,2.04054
2.72,2.09575
2.73,2.03414
2.74,1.98985
2.75,1.95257
2.76,1.93239
2.77,1.96828
2.78,1.93887
2.79,1.83986
2.8,1.86797
2.81,1.92826
2.82,1.88733
2.83,2.02137
2.84,1.78387
2.85,1.93532
2.86,1.9654
2.87,1.96436
2.88,2.0534
2.89,2.05283
2.9,1.98167
2.91,2.04316
2.92,1.9948
2.93,1.96616
2.94,1.97797
2.95,2.03062
2.96,2.02517
2.97,1.96548
2.98,2.03861
2.99,2.09106
3,2.04921
3.01,2.03866
3.02,2.08603
3.03,2.09138
3.04,2.10725
3.05,2.11396
3.06,2.1682
3.07,2.22421
3.08,2.1935
3.09,2.18799
3.1,2.23115
3.11,2.1768
3.12,2.14102
3.13,2.24472
3.14,2.28211
3.15,2.28096
3.16,2.25248
3.17,2.3
3.18,2.23729
3.19,2.18531
3.2,2.17206
3.21,2.21029
3.22,2.21222
3.23,2.31251
3.24,2.28131
3.25,2.19702
3.26,2.2284
3.27,2.27269
3.28,2.241
3.29,2.14392
3.3,2.17556
3.31,2.17861
3.32,2.14666
3.33,2.15856
3.34,2.15554
3.35,2.16987
3.36,2.20906
3.37,2.24251
3.38,2.16264
3.39,2.17377
3.4,2.12408
3.41,2.28235
3.42,2.27208
3.43,2.23838
3.44,2.21275
3.45,2.21445
3.46,2.26506
3.47,2.25737
3.48,2.22399
3.49,2.17613
3.5,2.14713
3.51,2.11392
3.52,2.18395
3.53,2.12921
3.54,2.22127
3.55,2.25347
3.56,2.36414
3.57,2.25882
3.58,2.19281
3.59,2.1428
3.6,2.24675
3.61,2.2924
3.62,2.25485
3.63,2.27586
3.64,2.26519
3.65,2.26352
3.66,2.33754
3.67,2.24046
3.68,2.31452
3.69,2.30069
3.7,2.47662
3.71,2.55952
3.72,2.44695
3.73,2.40753
3.74,2.34627
3.75,2.32075
3.76,2.39992
3.77,2.40642
3.78,2.43055
3.79,2.43988
3.8,2.345
3.81,2.39359
3.82,2.33129
3.83,2.36877
3.84,2.44626
3.85,2.35242
3.86,2.48503
3.87,2.44576
3.88,2.35499
3.89,2.33865
3.9,2.40373
3.91,2.39465
3.92,2.42585
3.93,2.33284
3.94,2.40173
3.95,2.41628
3.96,2.41971
3.97,2.36277
3.98,2.37874
3.99,2.28639
4,2.34164
4.01,2.36349
4.02,2.36204
4.03,2.34614
4.04,2.35769
4.05,2.39662
4.06,2.3618
4.07,2.34719
4.08,2.3384
4.09,2.36753
4.1,2.28583
4.11,2.3818
4.12,2.34995
4.13,2.38465
4.14,2.36075
4.15,2.38941
4.16,2.38564
4.17,2.30409
4.18,2.35634
4.19,2.39509
4.2,2.37943
4.21,2.37241
4.22,2.29596
4.23,2.26811
4.24,2.35248
4.25,2.35049
4.26,2.30279
4.27,2.38585
4.28,2.33995
4.29,2.27085
4.3,2.32406
4.31,2.33974
4.32,2.25238
4.33,2.34241
4.34,2.35106
