"Time (ns)","RMSD (Å)"
0.01,0
0.02,0.885045
0.03,0.965334
0.04,0.958956
0.05,1.06868
0.06,1.11839
0.07,1.27568
0.08,1.25365
0.09,1.26208
0.1,1.33727
0.11,1.34723
0.12,1.31647
0.13,1.34661
0.14,1.18691
0.15,1.29159
0.16,1.34016
0.17,1.32813
0.18,1.41267
0.19,1.23903
0.2,1.36279
0.21,1.31907
0.22,1.3625
0.23,1.35122
0.24,1.27385
0.25,1.24726
0.26,1.36848
0.27,1.35296
0.28,1.44169
0.29,1.40519
0.3,1.35659
0.31,1.29112
0.32,1.20902
0.33,1.27439
0.34,1.26102
0.35,1.22662
0.36,1.32695
0.37,1.38591
0.38,1.40215
0.39,1.44905
0.4,1.53922
0.41,1.51149
0.42,1.5552
0.43,1.45704
0.44,1.47762
0.45,1.40504
0.46,1.41103
0.47,1.5148
0.48,1.51355
0.49,1.48825
0.5,1.43235
0.51,1.43806
0.52,1.56459
0.53,1.61186
0.54,1.55482
0.55,1.50313
0.56,1.4428
0.57,1.42025
0.58,1.50993
0.59,1.51687
0.6,1.54674
0.61,1.41684
0.62,1.44036
0.63,1.46014
0.64,1.42099
0.65,1.46711
0.66,1.46435
0.67,1.46424
0.68,1.40752
0.69,1.4979
0.7,1.52766
0.71,1.49581
0.72,1.5052
0.73,1.50513
0.74,1.44264
0.75,1.4759
0.76,1.43538
0.77,1.39596
0.78,1.47683
0.79,1.57619
0.8,1.64526
0.81,1.56916
0.82,1.56669
0.83,1.55092
0.84,1.54765
0.85,1.55349
0.86,1.55498
0.87,1.71572
0.88,1.64023
0.89,1.75332
0.9,1.81456
0.91,1.68992
0.92,1.62501
0.93,1.68497
0.94,1.76483
0.95,1.75335
0.96,1.82354
0.97,1.77335
0.98,1.74975
0.99,1.86825
1,1.76469
1.01,1.78528
1.02,1.75587
1.03,1.71494
1.04,1.69944
1.05,1.66944
1.06,1.52334
1.07,1.50995
1.08,1.53577
1.09,1.45516
1.1,1.60201
1.11,1.53284
1.12,1.57464
1.13,1.59086
1.14,1.64674
1.15,1.50843
1.16,1.52702
1.17,1.61503
1.18,1.4526
1.19,1.45766
1.2,1.58409
1.21,1.61398
1.22,1.6154
1.23,1.59452
1.24,1.59037
1.25,1.55806
1.26,1.45967
1.27,1.6161
1.28,1.50554
1.29,1.52179
1.3,1.5995
1.31,1.61355
1.32,1.63693
1.33,1.57818
1.34,1.61413
1.35,1.69733
1.36,1.67023
1.37,1.70876
1.38,1.81838
1.39,1.80291
1.4,1.75978
1.41,1.57249
1.42,1.64176
1.43,1.62368
1.44,1.6663
1.45,1.70871
1.46,1.69993
1.47,1.67717
1.48,1.65726
1.49,1.73238
1.5,1.80798
1.51,1.6851
1.52,1.67477
1.53,1.69852
1.54,1.67417
1.55,1.63562
1.56,1.65811
1.57,1.73214
1.58,1.81895
1.59,1.78899
1.6,1.73986
1.61,1.85857
1.62,1.89694
1.63,1.95556
1.64,2.01252
1.65,2.00837
1.66,2.05279
1.67,1.93102
1.68,1.96183
1.69,2.02417
1.7,2.04879
1.71,2.00252
1.72,2.13544
1.73,2.04322
1.74,2.00497
1.75,1.95654
1.76,1.97177
1.77,2.09753
1.78,2.02518
1.79,2.00464
1.8,2.0303
1.81,1.97729
1.82,2.01529
1.83,2.14771
1.84,2.06608
1.85,2.0238
1.86,2.09668
1.87,2.04027
1.88,2.15361
1.89,2.19208
1.9,2.0297
1.91,1.9653
1.92,2.06618
1.93,2.02874
1.94,1.93272
1.95,1.92639
1.96,1.94786
1.97,2.02826
1.98,1.96356
1.99,2.00843
2,2.05813
2.01,2.11645
2.02,2.15577
2.03,2.07637
2.04,2.25452
2.05,2.0733
2.06,2.11944
2.07,2.08108
2.08,2.04461
2.09,2.0478
2.1,2.15365
2.11,2.06416
2.12,2.07435
2.13,2.16705
2.14,2.1768
2.15,2.24729
2.16,2.26907
2.17,2.23249
2.18,2.08837
2.19,2.16753
2.2,2.1752
2.21,2.20005
2.22,2.1657
2.23,2.13392
2.24,2.17885
2.25,2.18461
2.26,2.09857
2.27,2.10993
2.28,2.13926
2.29,2.14095
2.3,2.10441
2.31,2.0809
2.32,2.27711
2.33,2.36289
2.34,2.25742
2.35,2.24721
2.36,2.2637
2.37,2.33704
2.38,2.26037
2.39,2.31448
2.4,2.30626
2.41,2.18348
2.42,2.05494
2.43,2.23873
2.44,2.24004
2.45,2.17245
2.46,2.16008
2.47,2.08243
2.48,2.16092
2.49,2.04033
2.5,2.22967
2.51,2.21132
2.52,2.12656
2.53,2.1045
2.54,2.21427
2.55,2.09738
2.56,2.12846
2.57,2.16054
2.58,2.16617
2.59,2.32721
2.6,2.31158
2.61,2.2043
2.62,2.24685
2.63,2.21342
2.64,2.1887
2.65,2.16045
2.66,2.21354
2.67,2.31358
2.68,2.25803
2.69,2.30395
2.7,2.25901
2.71,2.20025
2.72,2.32732
2.73,2.3039
2.74,2.382
2.75,2.44105
2.76,2.28044
2.77,2.32291
2.78,2.33319
2.79,2.1505
2.8,2.21117
2.81,2.17353
2.82,2.23788
2.83,2.10738
2.84,2.28336
2.85,2.35349
2.86,2.27894
2.87,2.24408
2.88,2.23601
2.89,2.32663
2.9,2.35531
2.91,2.39957
2.92,2.20808
2.93,2.28732
2.94,2.27851
2.95,2.20331
2.96,2.22339
2.97,2.22677
2.98,2.11086
2.99,2.08652
3,2.12485
3.01,2.17394
3.02,2.2797
3.03,2.23939
3.04,2.23051
3.05,2.22254
3.06,2.24624
3.07,2.13683
3.08,2.21624
3.09,2.22661
3.1,2.21486
3.11,2.31208
3.12,2.29811
3.13,2.32002
3.14,2.26153
3.15,2.25203
3.16,2.20415
3.17,2.28319
3.18,2.36884
3.19,2.26323
3.2,2.24513
3.21,2.15826
3.22,2.16332
3.23,2.10945
3.24,2.06195
3.25,2.01008
3.26,2.01019
3.27,2.11962
3.28,2.14334
3.29,2.0812
3.3,1.98436
3.31,2.053
3.32,2.22914
3.33,2.1302
3.34,2.20641
3.35,2.11681
3.36,2.09439
3.37,1.95679
3.38,1.98242
3.39,2.05122
3.4,1.99931
3.41,1.98227
3.42,1.97363
3.43,2.12169
3.44,2.01783
3.45,1.95704
3.46,2.01065
3.47,1.99983
3.48,2.09204
3.49,2.11943
3.5,2.09135
3.51,2.07227
3.52,2.1253
3.53,2.16814
3.54,2.13306
3.55,2.12246
3.56,1.97925
3.57,1.93695
3.58,2.00091
3.59,1.95294
3.6,2.11011
3.61,2.02131
3.62,2.10938
3.63,1.99802
3.64,2.0655
3.65,2.18067
3.66,2.04083
3.67,2.16857
3.68,2.10874
3.69,2.16549
3.7,2.12952
3.71,2.23421
3.72,2.27119
3.73,2.1048
3.74,2.17298
3.75,2.14054
3.76,1.99682
3.77,1.97659
3.78,2.00657
3.79,2.06766
3.8,2.04524
3.81,2.06133
3.82,1.88506
3.83,2.09336
3.84,2.01317
3.85,1.80323
3.86,1.9617
3.87,1.97487
3.88,1.93564
3.89,1.93578
3.9,2.00751
3.91,2.02351
3.92,2.00695
3.93,2.06827
3.94,2.04693
3.95,2.06266
3.96,2.13543
3.97,2.0988
3.98,2.16126
3.99,2.08809
4,2.11582
4.01,2.15502
4.02,2.07493
4.03,2.04355
4.04,2.02335
4.05,1.96234
4.06,2.03891
4.07,2.09081
4.08,2.00843
4.09,2.07096
4.1,2.04563
4.11,2.08426
4.12,2.17691
4.13,2.11422
4.14,2.11936
4.15,2.19782
4.16,2.05773
4.17,2.09103
4.18,2.06131
4.19,2.09899
4.2,1.96336
4.21,2.07062
4.22,2.01907
4.23,1.98724
4.24,2.1543
4.25,2.06854
4.26,2.10412
4.27,2.1157
4.28,2.06607
4.29,2.09378
4.3,2.09371
4.31,2.11689
4.32,2.10365
4.33,2.02137
4.34,2.09378
4.35,2.05946
4.36,2.10019
4.37,2.06026
4.38,2.18242
4.39,2.1759
4.4,2.08193
4.41,2.08314
4.42,2.09606
4.43,2.1246
4.44,2.14499
4.45,2.1467
4.46,2.06935
4.47,2.06822
4.48,1.95738
4.49,2.10521
4.5,2.08246
4.51,1.95479
4.52,1.87535
4.53,1.99484
4.54,2.05797
4.55,2.03526
4.56,2.15225
4.57,2.05602
4.58,2.0487
4.59,2.08708
4.6,2.04265
4.61,2.11054
4.62,2.11162
4.63,2.15581
4.64,2.35702
4.65,2.18988
4.66,2.15065
4.67,2.08203
4.68,1.99197
4.69,2.0625
4.7,2.10789
4.71,2.01336
4.72,1.96277
4.73,1.96679
4.74,1.9448
4.75,2.0026
4.76,1.91374
4.77,1.94049
4.78,2.05051
4.79,2.03648
4.8,2.16586
4.81,2.03921
4.82,2.07067
4.83,2.23598
4.84,2.13205
4.85,2.03285
4.86,2.10435
4.87,2.05787
4.88,1.977
4.89,1.9706
4.9,2.05089
4.91,1.99571
4.92,1.99606
4.93,1.91916
4.94,1.953
4.95,1.89931
4.96,1.89049
4.97,1.88315
4.98,1.89809
4.99,1.87728
5,1.95579
5.01,1.90316
5.02,1.78823
5.03,1.93514
5.04,1.98515
5.05,1.95639
5.06,1.98694
5.07,1.98819
5.08,1.98133
5.09,1.90796
5.1,1.95658
5.11,1.90176
5.12,1.89513
5.13,1.82312
5.14,1.84888
5.15,1.85544
5.16,1.83275
5.17,1.92088
5.18,1.79083
5.19,1.79472
5.2,1.96869
5.21,1.83754
5.22,1.779
5.23,1.94453
5.24,1.78226
5.25,1.90672
5.26,1.93532
5.27,1.87946
5.28,1.79219
5.29,1.84885
5.3,1.80708
5.31,1.79413
5.32,1.77022
5.33,1.79313
5.34,1.83082
5.35,1.83135
5.36,1.84509
5.37,1.75105
5.38,1.81781
5.39,1.80051
5.4,1.78906
5.41,1.82076
5.42,1.73174
5.43,1.83177
5.44,1.82544
5.45,1.71295
5.46,1.73082
5.47,1.71078
5.48,1.7477
5.49,1.66228
5.5,1.63085
5.51,1.56732
5.52,1.66639
5.53,1.60886
5.54,1.56335
5.55,1.54655
5.56,1.47757
5.57,1.58629
5.58,1.56034
5.59,1.54456
5.6,1.55288
5.61,1.531
5.62,1.63918
5.63,1.62793
5.64,1.70479
5.65,1.63954
5.66,1.66987
5.67,1.71024
5.68,1.64803
5.69,1.72683
5.7,1.72879
5.71,1.83012
5.72,1.76479
5.73,1.72829
5.74,1.79795
5.75,1.71519
5.76,1.66828
5.77,1.63404
5.78,1.72585
5.79,1.77565
5.8,1.67387
5.81,1.67696
5.82,1.62482
5.83,1.66178
5.84,1.67541
5.85,1.71606
5.86,1.73667
5.87,1.73229
5.88,1.72725
5.89,1.71592
5.9,1.74505
5.91,1.77146
5.92,1.69547
5.93,1.7708
5.94,1.72296
5.95,1.7652
5.96,1.74015
5.97,1.72354
5.98,1.79953
5.99,1.75886
6,1.72176
6.01,1.73104
6.02,1.77589
6.03,1.72805
6.04,1.63235
6.05,1.62139
6.06,1.68152
6.07,1.66674
6.08,1.68747
6.09,1.89113
6.1,2.00259
6.11,1.94288
6.12,1.93919
6.13,2.03885
6.14,1.93738
6.15,1.92912
6.16,1.81079
6.17,1.81355
6.18,1.9343
6.19,1.79507
6.2,1.76326
6.21,1.92436
6.22,1.81409
6.23,1.83744
6.24,1.77875
6.25,1.86376
6.26,1.81463
6.27,1.79081
6.28,1.72942
6.29,1.6938
6.3,1.66744
6.31,1.66671
6.32,1.81333
6.33,1.80096
6.34,1.78069
6.35,1.75958
6.36,1.82911
6.37,1.75586
6.38,1.7086
6.39,1.76453
6.4,1.76751
6.41,1.75986
6.42,1.81473
6.43,1.82587
6.44,1.72388
6.45,1.83472
6.46,1.94372
6.47,1.89264
6.48,1.9517
6.49,1.87507
6.5,1.86444
6.51,1.91423
6.52,1.91423
6.53,1.9225
6.54,2.00866
6.55,2.05329
6.56,2.17513
6.57,1.99764
6.58,2.01849
6.59,1.96559
6.6,1.91027
6.61,1.82556
6.62,1.94012
6.63,1.83804
6.64,1.90086
6.65,1.93145
6.66,2.03929
6.67,1.95221
6.68,2.00812
6.69,1.90294
6.7,1.99001
6.71,1.94411
6.72,1.9757
6.73,1.84902
6.74,1.86705
6.75,1.99623
6.76,1.95356
6.77,2.02606
6.78,1.91069
6.79,1.84177
6.8,2.00266
6.81,1.91112
6.82,2.05039
6.83,2.01289
6.84,2.18421
6.85,2.06056
6.86,1.91077
6.87,1.90947
6.88,1.96511
6.89,1.8842
6.9,1.96154
6.91,1.96582
6.92,1.97675
6.93,1.98077
6.94,1.9135
6.95,2.00346
6.96,2.00057
6.97,1.95415
6.98,2.0109
6.99,1.94029
7,1.85722
7.01,1.87108
7.02,1.92218
7.03,1.93926
7.04,1.99281
7.05,1.92881
7.06,1.99562
7.07,1.94607
7.08,1.9267
7.09,1.84204
7.1,1.88025
7.11,1.84302
7.12,1.86817
7.13,1.90204
7.14,1.83127
7.15,1.84835
7.16,1.90063
7.17,1.91307
7.18,1.94104
7.19,2.03994
7.2,2.07921
7.21,2.00146
7.22,2.01894
7.23,2.01382
7.24,2.03057
7.25,1.99059
7.26,2.00764
7.27,2.00606
7.28,2.00928
7.29,1.97454
7.3,1.95897
7.31,1.98855
7.32,1.93495
7.33,1.90704
7.34,1.92736
7.35,1.86718
7.36,1.93386
7.37,1.96936
7.38,2.01615
7.39,2.00531
7.4,2.01805
7.41,2.01313
7.42,2.02894
7.43,1.99948
7.44,1.97164
7.45,2.00896
7.46,1.93249
7.47,2.00562
7.48,1.95043
7.49,1.92608
7.5,1.88937
7.51,1.90728
7.52,1.97852
7.53,1.95489
7.54,1.98194
7.55,1.98484
7.56,1.97573
7.57,2.01184
7.58,1.87034
7.59,1.87289
7.6,1.89257
7.61,1.8762
7.62,1.83561
7.63,1.85368
7.64,1.91468
7.65,1.87677
7.66,1.85036
7.67,1.86864
7.68,1.86997
7.69,1.92741
7.7,1.91981
7.71,1.85742
7.72,1.9166
7.73,1.93492
7.74,1.87549
7.75,1.90122
7.76,1.87263
7.77,1.87308
7.78,1.85547
7.79,1.95101
7.8,1.97514
7.81,1.9423
7.82,1.9483
7.83,1.95801
7.84,1.96453
7.85,1.8737
7.86,1.90162
7.87,1.91717
7.88,1.99113
7.89,2.00342
7.9,2.04536
7.91,2.01482
7.92,2.14291
7.93,2.03989
7.94,2.04448
7.95,1.96871
7.96,1.97896
7.97,1.93961
7.98,1.94718
7.99,1.97504
8,2.02426
8.01,2.01105
8.02,2.07324
8.03,2.04357
8.04,2.03873
8.05,2.0595
8.06,1.89463
8.07,1.99243
8.08,2.02645
8.09,2.04262
8.1,2.10092
8.11,2.092
8.12,2.03974
8.13,1.94545
8.14,1.93939
8.15,1.91561
8.16,1.85919
8.17,1.96755
8.18,1.98585
8.19,1.95558
8.2,1.88245
8.21,1.91545
8.22,1.90323
8.23,1.83914
8.24,1.8698
8.25,1.85707
8.26,1.9557
8.27,1.86165
8.28,1.84855
8.29,1.89864
8.3,1.88396
8.31,1.83943
8.32,1.88478
8.33,1.86405
8.34,1.902
8.35,1.86691
8.36,2.0011
8.37,1.84243
8.38,1.9714
8.39,1.97586
8.4,1.96451
8.41,1.87932
8.42,1.92181
8.43,1.95635
8.44,1.87941
8.45,1.85961
8.46,1.85563
8.47,1.921
8.48,1.94834
8.49,1.93708
8.5,1.88596
8.51,1.88555
8.52,1.92068
8.53,1.86691
8.54,1.83867
8.55,1.79974
8.56,1.84818
8.57,1.93829
8.58,1.9051
8.59,1.94098
8.6,1.87089
8.61,1.81496
8.62,1.89297
8.63,1.88043
8.64,1.86544
8.65,1.91979
8.66,1.92809
8.67,1.92028
8.68,1.94524
8.69,1.88587
8.7,1.8599
8.71,1.86671
8.72,1.83259
8.73,1.78803
8.74,1.87839
8.75,1.84952
8.76,1.80337
8.77,1.92977
8.78,1.90331
8.79,1.9148
8.8,1.96206
8.81,1.96619
8.82,2.01058
8.83,1.92431
8.84,2.00891
8.85,1.90578
8.86,1.97598
8.87,1.94854
8.88,1.90918
8.89,1.90869
8.9,1.91196
8.91,1.98076
8.92,2.0729
8.93,1.91053
8.94,1.94718
8.95,2.00719
8.96,1.92577
8.97,1.97376
8.98,1.9381
8.99,2.03438
9,2.02612
9.01,1.97026
9.02,1.93436
9.03,1.99771
9.04,1.98005
9.05,2.03493
9.06,2.01718
9.07,1.94782
9.08,1.93359
9.09,1.87861
9.1,1.94488
9.11,1.93614
9.12,1.97356
9.13,2.00147
9.14,2.01723
9.15,2.00724
9.16,2.03778
9.17,1.91871
9.18,1.94652
9.19,1.96482
